Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,01/04/2021,Student Payments,STUDENT FINANCE DELIVERY,STUDENT LOANS COMPANY LTD,CUPS0022839,6269253.00,Payments for new student loans
Department for Education,Core,01/04/2021,Student Payments,STUDENT FINANCE DELIVERY,STUDENT LOANS COMPANY LTD,CUPS0022840,133331691.00,Payments for new student loans
Department for Education,Core,01/04/2021,Student Payments,STUDENT FINANCE DELIVERY,STUDENT LOANS COMPANY LTD,CUPS0022841,5819565.00,Payments for new student loans
Department for Education,Core,07/04/2021,Grants expenditure,HE STRATEGY AND POLICY,Wandsworth Borough Council,CORE-MAIN-017722,578000.00,Capital grants paid to local authorities and other educational establishments
Department for Education,Core,01/04/2021,Other Goods & Services,STUDENT FINANCE DELIVERY,CSR/HMRC,CORE-PINV-018757,127445.00,Other Professional Services
Department for Education,Core,06/04/2021,Other Goods & Services,STUDENT FINANCE DELIVERY,CSR/HMRC,CORE-PINV-018868,2047434.69,Other Professional Services
Department for Education,Core,01/04/2021,Learning & Development,FURTHER EDUCATION TOTAL,Education and Training Foundation,CORE-PINV-018823,300000.00,Training & Development costs
Department for Education,Core,01/04/2021,Consultancy,FE SKILLS FUNDING DELIVERY DIRECTORATE,PRICEWATERHOUSECOOPERS LLP,CORE-PCR-000660,-43495.00,"Advisory services including fees, travel and expenses"
Department for Education,Core,01/04/2021,Consultancy,FE SKILLS FUNDING DELIVERY DIRECTORATE,PRICEWATERHOUSECOOPERS LLP,CORE-PINV-014354,43495.00,"Advisory services including fees, travel and expenses"
Department for Education,Core,01/04/2021,Consultancy,FE SKILLS FUNDING DELIVERY DIRECTORATE,PRICEWATERHOUSECOOPERS LLP,CORE-PINV-018779,43495.00,"Advisory services including fees, travel and expenses"
Department for Education,Core,07/04/2021,Grants expenditure,FE SKILLS FUNDING DELIVERY DIRECTORATE,UNIVERSITY OF GREENWICH,CUPS0023459,27300.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,FE SKILLS FUNDING DELIVERY DIRECTORATE,LEEDS CITY COLLEGE,CUPS0023465,31620.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,FE SKILLS FUNDING DELIVERY DIRECTORATE,UNIVERSITY OF BOLTON,CUPS0023468,121240.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,FE SKILLS FUNDING DELIVERY DIRECTORATE,UNIVERSITY OF SUNDERLAND,CUPS0023469,71538.30,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,FE SKILLS FUNDING DELIVERY DIRECTORATE,COVET LTD,CUPS0023477,35996.40,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,FE SKILLS FUNDING DELIVERY DIRECTORATE,TEESIDE UNIVERSITY,CUPS0023495,30996.40,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,FE SKILLS FUNDING DELIVERY DIRECTORATE,NEWCASTLE COLLEGE GROUP,CUPS0023496,37741.68,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,06/04/2021,Professional Services Consultancy and Contingent Labour,HR DIRECTORATE,Cabinet Office,CORE-PINV-018920,50688.00,Costs related to temporary workers
Department for Education,Core,06/04/2021,Learning & Development,HR DIRECTORATE,CSL KPMG LLP,CORE-PINV-018900,39130.00,Training & Development costs
Department for Education,Core,01/04/2021,IS/IT,GET HELP WITH TECH,COMPUTACENTER PLC,CORE-PINV-018391,398380.75,ICT Hardware
Department for Education,Core,06/04/2021,Consultancy,TECHNOLOGY DIRECTORATE TOTAL,Nimbus Digital & Technology Innovations,CORE-PINV-016913,128608.20,IS/IT Services - Consultancy
Department for Education,Core,01/04/2021,IS/IT,Commercial,PLACE GROUP LTD,CORE-PCR-000641,-123176.00,Shared corporate purchase / procurement services
Department for Education,Core,01/04/2021,IS/IT,Commercial,PLACE GROUP LTD,CORE-PINV-017923,123176.00,Shared corporate purchase / procurement services
Department for Education,Core,01/04/2021,IS/IT,Commercial,PLACE GROUP LTD,CORE-PINV-017924,126176.00,Shared corporate purchase / procurement services
Department for Education,Core,01/04/2021,Other Goods & Services,Commercial,The IASME Consortium Ltd,CORE-PINV-018742,135000.00,Other Professional Services
Department for Education,Core,01/04/2021,Other Goods & Services,Commercial,The IASME Consortium Ltd,CORE-PINV-018744,45000.00,Other Professional Services
Department for Education,Core,06/04/2021,Other Goods & Services,OPERATIONAL AND STRATEGIC FINANCE TOTAL,Cabinet Office,CORE-PINV-018921,92000.00,Other Professional Services
Department for Education,Core,06/04/2021,Other Goods & Services,OPERATIONAL AND STRATEGIC FINANCE TOTAL,Cabinet Office,CORE-PINV-018922,1541373.34,Other Professional Services
Department for Education,Core,07/04/2021,Statutory Return,OPERATIONAL AND STRATEGIC FINANCE TOTAL,HMRC,CUPS0022861,1127318.00,Regulatory payment to other Government Department
Department for Education,Core,01/04/2021,Other Goods & Services,HIGHER AND FURTHER EDUCATION TOTAL,ANDIGITAL LIMITED,CORE-PINV-018834,77190.00,Other Professional Services
Department for Education,Core,01/04/2021,Other Goods & Services,STRATEGIC ANALYSIS AND RESEARCH,NFER TRADING LIMITED INV T,CORE-PINV-018838,193380.00,Research and Development
Department for Education,Core,07/04/2021,Grants expenditure,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-MAIN-017673,182334.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,06/04/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,KINGS COLLEGE LONDON,CORE-PINV-018886,30984.00,Research and Development
Department for Education,Core,01/04/2021,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-016467,677625.00,Training & Development costs
Department for Education,Core,06/04/2021,Legal,COMMUNICATIONS DIRECTORATE,THE GOVERNMENT LEGAL DEPARTMENT,CORE-PINV-018667,22657.80,Legal services provided by Treasury Solicitor 
Department for Education,Core,06/04/2021,Other Goods & Services,STRATEGY SOCIAL MOBILITY OPPOTUNITY AREAS,THE ROYAL COLLEGE OF PSYCHIATRISTS,CORE-PINV-018890,25000.00,Research and Development
Department for Education,Core,07/04/2021,Grants expenditure,STRATEGY SOCIAL MOBILITY OPPOTUNITY AREAS,CONTACT,CORE-MAIN-017674,443333.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,01/04/2021,Other Goods & Services,STRATEGY SOCIAL MOBILITY OPPOTUNITY AREAS,CONTACT,CORE-PINV-017284,157190.08,Other Professional Services
Department for Education,Core,06/04/2021,Other Goods & Services,STRATEGY SOCIAL MOBILITY OPPOTUNITY AREAS,COUNCIL FOR DISABLED CHILDREN,CORE-PINV-018927,64040.50,Other Professional Services
Department for Education,STA,01/04/2021,Professional Services,TEST DEVELOPMENT DIVISION,Castle Hill School,STA-PINV-000509,25000.00,Provision of services re delivery of Educational Assessments
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,ST MARY & ST PAULS CE PRIMARY SCHOOL TS ACCOUNT,CORE-MAIN-017681,113850.20,Grants to local authorities
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,HIBERNIA COLLEGE UK,CORE-MAIN-017684,71057.29,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF SUSSEX,CORE-MAIN-017687,236375.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,BATH SPA UNIVERSITY,CUPS0022828,29000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,01/04/2021,Other Goods & Services,SYSTEM CAPACITY LEADERSHIP AND GOVERNANCE TOTAL,UCL CONSULTANTS LTD,CORE-PINV-018348,60650.05,Programme Expenditure
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,ENFIELD LONDON BOROUGH COUNCIL,CUPS0023002,31050.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,West Sussex County Council,CUPS0023006,26059.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,London Academy,CUPS0023007,67010.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,Harris Primary Academy Crystal Palace ,CUPS0023012,84155.67,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,ARK Academy ,CUPS0023014,68953.82,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,Glyn School,CUPS0023050,36810.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,South Farnham School ,CUPS0023073,36927.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,Bishop Ramsey Church of England School,CUPS0023096,30762.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,The Cherwell School ,CUPS0023121,32760.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,ST GEORGE'S CATHOLIC SCHOOL,CUPS0023157,32832.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THE CARDINAL VAUGHAN MEMORIAL RC SCHOOL,CUPS0023187,32031.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,CUPS0023244,25857.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,Alpha Trust,CUPS0023245,102150.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,NOTTINGHAM TRENT UNIVERSITY,CUPS0023247,227790.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF BRISTOL,CUPS0023248,286650.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF EAST LONDON,CUPS0023249,304260.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF HERTFORDSHIRE,CUPS0023250,288630.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THE UNIVERSITY OF MANCHESTER,CUPS0023251,453690.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,York St John University,CUPS0023252,59850.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,MIDDLESEX UNIVERSITY,CUPS0023253,147360.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,NORTH ESSEX TEACHER TRAINING,CUPS0023254,51210.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,LEARNING INSTITUTE SOUTH WEST SCITT,CUPS0023256,25020.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THE ARTHUR TERRY SCHOOL SCITT,CUPS0023258,63270.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,LEICESTERSHIRE SECONDARY SCITT,CUPS0023259,114300.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,EDUCATION MANAGEMENT DIRECT LTD,CUPS0023260,33030.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THE HAVERING TEACHER TRAINING PARTNERSHIP,CUPS0023261,57960.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,POOLE SECONDARY SCHOOLS,CUPS0023262,34650.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,MID SOMERSET CONSORTIUM FOR TEACHER TRAINING,CUPS0023263,55260.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,Summit Learning Trust,CUPS0023264,30330.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,ARK Schools,CUPS0023266,183070.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THORNDEN SCHOOL,CUPS0023267,29780.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,DENBIGH ALLIANCE,CUPS0023268,43218.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,TRAIN TO TEACH AT SURREY & HANTS,CUPS0023269,71955.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,SUTTON PARK SCITT,CUPS0023271,79920.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,LINCOLNSHIRE TEACHING SCHOOL ALLIANCE,CUPS0023272,68890.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,Star Academies,CUPS0023274,64120.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,HAYBRIDGE ALLIANCE SCITT,CUPS0023276,64242.50,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,SACRED HEART NEWCASTLE SCITT,CUPS0023277,62820.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,BATH SPA UNIVERSITY,CUPS0023278,234600.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,BISHOP GROSSETESTE UNIVERSITY,CUPS0023279,187110.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF ST MARK & ST JOHN,CUPS0023280,35070.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,GOLDSMITH COLLEGE,CUPS0023281,319950.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THE UNIVERSITY OF WINCHESTER,CUPS0023282,144900.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,KINGS COLLEGE GUILDFORD,CUPS0023283,412920.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,Kingston University Higher Education Corporation,CUPS0023284,122580.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,LEEDS BECKETT UNIVERSITY,CUPS0023285,160290.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,LIVERPOOL JOHN MOORES UNIVERSITY,CUPS0023286,374130.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,MANCHESTER METRO UNIVERSITY,CUPS0023287,811800.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,OXFORD BROOKES UNIVERSITY,CUPS0023288,36900.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,SHEFFIELD HALLAM UNIVERSITY,CUPS0023289,574740.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THE UNIVERSITY OF CUMBRIA,CUPS0023290,288550.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,THE UNIVERSITY OF CHICHESTER,CUPS0023291,124290.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF EAST ANGLIA,CUPS0023292,199950.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF EXETER,CUPS0023293,338940.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF GLOUCESTERSHIRE,CUPS0023294,99900.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF GREENWICH,CUPS0023295,158660.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF HUDDERSFIELD,CUPS0023296,206100.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF HULL,CUPS0023297,134730.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF LEICESTER,CUPS0023298,169700.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,The University of Nottingham,CUPS0023299,351500.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF OXFORD,CUPS0023300,319620.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,TEACHING WORKFORCE TOTAL,UNIVERSITY OF PLYMOUTH,CUPS0023301,130590.00,Grants to educational establishments or not for profit organisations including other businesses
