Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,HAMPSHIRE COUNTY COUNCIL,1041116176,720388,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH YORKSHIRE COUNTY COUNCIL,1041116184,844667,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LEEDS CITY COUNCIL,1041116185,685980,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CHESHIRE WEST & CHESTER COUNCIL,1041116186,288738,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LINCOLNSHIRE COUNTY COUNCIL,1041116204,1010277,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF CAMDEN,1041116205,193192,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CITY OF WESTMINSTER,1041116207,219033,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,1041116312,85305.6,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,1041116312,17061.12,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,EARLY INTERVENTION FOUNDATION,1041116348,174226,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,EARLY INTERVENTION FOUNDATION,1041116348,168415,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,EAST SUSSEX COUNTY COUNCIL,1041116367,281795.38,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LEICESTERSHIRE COUNTY COUNCIL,1041116379,117300,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SALFORD CITY COUNCIL,1041116380,84900,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,PLYMOUTH CITY COUNCIL,1041116387,38004.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,BARNSLEY MBC,1041116388,94992,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF BROMLEY COUNCIL,1041116397,52150,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LANCASHIRE COUNTY COUNCIL,1041116398,274139.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,KENT COUNTY COUNCIL,1041116399,973848.53,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,WARRINGTON BOROUGH COUNCIL,1041116400,79011.33,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
