Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollingworth Academy,22AYF0012671,"62,786.81",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollinhey Primary School,22AYF0025775,"64,459.76",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollins Green St Helen's CofE (Aided) Primary Scho,22AYF0016023,"39,627.84",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollinwood Academy,22AYF0017196,"143,333.28",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollinwood Academy,22AYF0017198,"34,166.65",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollis Academy,22AYF0012909,"70,833.31",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holly Lodge Primary School,22AYF0029732,"125,882.92",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollybrook Infant School,22AYF0011837,"57,005.60",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollybrook Junior School,22AYF0011841,"74,605.12",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollymount School,22AYF0026110,"121,074.21",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hollywell Primary School,22AYF0008486,"65,899.51",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmbush Primary Academy,22AYF0034241,"59,928.21",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holme CofE Primary School,22AYF0027689,"30,756.27",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holme Hall Primary School,22AYF0015010,"48,655.91",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmer CofE Academy,22AYF0012677,"115,947.87",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,HOLMER GREEN SENIOR SCHOOL,22AYF0012680,"422,109.03",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,HOLMER GREEN SENIOR SCHOOL,22AYF0012683,"47,416.15",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,HOLMER GREEN SENIOR SCHOOL,EUPS659054,"25,600.00",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmes Chapel Comprehensive School,22AYF0012689,"464,560.74",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmes Chapel Comprehensive School,22AYF0012690,"25,947.81",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmes Chapel Comprehensive School,22AYF0012691,"72,071.66",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmes Chapel Primary School,22AYF0025742,"123,703.14",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmesdale Community Infant School,22AYF0011305,"98,991.57",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmleigh Park High School,22AYF0011368,"42,627.22",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmleigh Park High School,22AYF0011372,"493,822.13",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holmwood School,22AYF0013571,"44,654.96",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holne Chase Primary School,22AYF0020248,"83,294.66",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holsworthy Community College,22AYF0007089,"232,259.94",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holt Farm Junior School,22AYF0022727,"90,234.75",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holton St Peter Primary School,22AYF0001997,"30,472.99",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Cross Catholic Primary School,22AYF0005696,"69,091.71",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Cross Catholic Primary School,22AYF0012726,"121,180.71",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Cross Catholic Primary School,22AYF0020014,"96,750.59",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Cross Catholic Primary School,22AYF0024433,"64,415.22",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Holy Cross Catholic Primary School, Harlow",22AYF0012724,"134,060.40",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Holy Cross Catholic School, A Voluntary Academy",22AYF0024288,"89,129.10",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,HOLY CROSS COLLEGE,ED212220210508408,"920,955.27",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,HOLY CROSS COLLEGE,ED212220210508411,"202,834.31",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Cross Primary Catholic Voluntary Academy,22AYF0018864,"62,048.17",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Cross School A Catholic Voluntary Academy,22AYF0024242,"42,686.68",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Family and St Michael's Catholic Primary Scho,22AYF0025993,"70,778.20",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,07/09/2021,Grants Expenditure,ESFA Funding,HOLY FAMILY CATHOLIC HIGH SCHOOL,ED212220210506420,"68,664.10",Current grants - Local Government
Department for Education,Education and Skills Funding Agency,07/09/2021,Grants Expenditure,ESFA Funding,HOLY FAMILY CATHOLIC HIGH SCHOOL,EUPS673542,"-68,664.10",Current grants - Local Government
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Family Catholic Primary School,22AYF0002058,"52,060.37",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Family Catholic Primary School,22AYF0012729,"63,611.25",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Family Catholic Primary School,22AYF0012749,"98,968.90",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Family Catholic Primary School,22AYF0036312,"69,423.65",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Holy Family Catholic Primary School, Witham",22AYF0031243,"61,130.74",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Family RC Primary School,22AYF0003170,"60,366.64",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Innocents Catholic Primary School,22AYF0012752,"73,165.12",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Name Catholic Voluntary Academy,22AYF0026064,"63,210.35",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Rood Catholic Primary School,22AYF0000913,"119,974.16",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Rood Catholic Primary School,22AYF0000914,"28,764.11",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Rood Catholic Primary School,22AYF0012754,"134,260.34",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Rosary & St Anne's Catholic Primary School,22AYF0023688,"82,420.29",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Rosary Catholic Primary School,22AYF0023619,"65,058.50",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Rosary Catholic Voluntary Academy,22AYF0024095,"71,360.81",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Souls Catholic Primary,22AYF0024175,"139,582.91",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity,22AYF0012769,"244,720.95",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Holy Trinity C & CofE School, A Voluntary Academy",22AYF0029038,"461,122.38",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Holy Trinity C & CofE School, A Voluntary Academy",22AYF0029039,"38,305.57",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity C of E (Aided),22AYF0008173,"61,675.08",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Catholic School,22AYF0024171,"370,372.54",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Holy Trinity Catholic School, Chipping Norton",22AYF0030789,"60,842.40",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Catholic Voluntary Academy,22AYF0018867,"95,591.03",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity CE Primary,22AYF0015977,"72,959.26",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity CE Primary Academy (Handsworth),22AYF0002928,"73,233.95",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity CE Primary School,22AYF0031061,"136,464.38",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,HOLY TRINITY CFE ACADEMY (ROTHWELL CE),22AYF0000057,"53,293.62",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Church of England Academy,22AYF0012757,"61,857.60",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Church of England Academy (South Shie,22AYF0012760,"86,236.90",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Church of England Primary School,22AYF0000866,"134,676.16",Current grants - Academy Trust
