Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,11/05/2022,Staff - Other,Commercial,Cabinet Office,CORE-PINV-037331,"34,000.00 ",Recruitment Advertising,,,,,,,,,
Department for Education,Core,18/05/2022,Staff - Temporary Staff,Commercial,ANDIGITAL LIMITED,CORE-PINV-037657,"46,800.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,09/05/2022,Learning & Development,Commercial,CALDER CONFERENCES EM LTD,EPCS000504,"3,681.28 ",Training costs,,,,,,,,,
Department for Education,Core,03/05/2022,Other Goods & Services,Commercial,PLACE GROUP LTD,CORE-PINV-036653,"100,954.42 ",Professional Services,,,,,,,,,
Department for Education,Core,12/05/2022,Other Goods & Services,Commercial,The IASME Consortium Ltd,CORE-PINV-036821,"34,200.00 ",Professional Services,,,,,,,,,
Department for Education,Core,06/05/2022,Other Goods & Services,Commercial,Bloom Procurement Services Ltd,CORE-PINV-037098,"167,647.20 ",Professional Services,,,,,,,,,
Department for Education,Core,16/05/2022,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-037502,"32,983.45 ",Professional Services,,,,,,,,,
Department for Education,Core,20/05/2022,Other Goods & Services,Commercial,WILLIS LIMITED,CORE-PINV-037799,"69,964.07 ",Professional Services,,,,,,,,,
Department for Education,Core,20/05/2022,Other Goods & Services,Commercial,WILLIS LIMITED,CORE-PINV-037795,"27,833.53 ",Professional Services,,,,,,,,,
Department for Education,Core,11/05/2022,Staff - Secondee,Commercial,Cabinet Office,CORE-PINV-037329,"53,580.00 ",Secondment costs,,,,,,,,,
Department for Education,Core,11/05/2022,Staff - Secondee,Commercial,Cabinet Office,CORE-PINV-037330,"87,037.50 ",Secondment costs,,,,,,,,,
Department for Education,Core,17/05/2022,Staff - Secondee,Commercial,Cabinet Office,CORE-PINV-037428,"1,506,689.23 ",Secondment costs,,,,,,,,,
Department for Education,Core,24/05/2022,IS/IT,Technology,AKHTER COMPUTERS LTD,CORE-PINV-037802,"38,465.21 ",End User Software & Hardware,,,,,,,,,
Department for Education,Core,12/05/2022,IS/IT,Technology,Bytes Software Services Ltd,CORE-PINV-037108,"78,314.69 ",End User Software & Hardware,,,,,,,,,
Department for Education,Core,09/05/2022,Learning & Development,Technology,CALDER CONFERENCES EM LTD,EPCS000504,409.60 ,Training costs,,,,,,,,,
Department for Education,Core,04/05/2022,IS/IT,Technology,VODAFONE CORPORATE LTD (Mobile),CORE-PINV-036920,"26,047.81 ",Mobile phones,,,,,,,,,
Department for Education,Core,13/05/2022,Other Costs,Technology,XMA Ltd,CORE-PINV-037245,"87,697.80 ",ICT Hardware,,,,,,,,,
Department for Education,Core,17/05/2022,Other Goods & Services,Customer Experience and Digital,LinkedIn Ireland Unlimited,CORE-PINV-037539,"46,275.00 ",Professional Services,,,,,,,,,
Department for Education,Core,27/05/2022,Grants Expenditure,Customer Experience and Digital,Archdiocese of Liverpool,CUPS0046039,"56,204.52 ",Capital grants,,,,,,,,,
Department for Education,Core,27/05/2022,Grants Expenditure,Customer Experience and Digital,DONCASTER METRO BOROUGH COUNCIL,CUPS0046045,"28,699.92 ",Capital grants,,,,,,,,,
Department for Education,Core,06/05/2022,Grants Expenditure,Customer Experience and Digital,Flying High Trust,CUPS0045804,"58,437.12 ",Capital grants,,,,,,,,,
Department for Education,Core,06/05/2022,Grants Expenditure,Customer Experience and Digital,Flying High Trust,CUPS0045806,"35,463.87 ",Capital grants,,,,,,,,,
Department for Education,Core,27/05/2022,Grants Expenditure,Customer Experience and Digital,Peterborough Diocese Education Trust,CUPS0046042,"40,477.58 ",Capital grants,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Customer Experience and Digital,St Edward's College,CUPS0045883,"85,268.51 ",Capital grants,,,,,,,,,
Department for Education,Core,06/05/2022,Other Goods & Services,Customer Experience and Digital,FRONTIER ECONOMICS LTD,CORE-PINV-037032,"26,333.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,19/05/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-037655,"56,181.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,20/05/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-037654,"46,062.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,19/05/2022,IS/IT,Technology,COMPUTACENTER PLC,CORE-PINV-037770,"90,670.69 ",End User Software & Hardware,,,,,,,,,
Department for Education,Core,12/05/2022,IS/IT,Technology,Bytes Software Services Ltd,CORE-PINV-037109,"147,356.17 ",End User Software & Hardware,,,,,,,,,
Department for Education,Core,10/05/2022,IS/IT,Technology,Bytes Software Services Ltd,CORE-PINV-037008,"2,798,631.03 ",Systems Development,,,,,,,,,
Department for Education,Core,13/05/2022,IS/IT,Technology,Bytes Software Services Ltd,CORE-PINV-037164,"2,798,631.03 ",Systems Development,,,,,,,,,
Department for Education,Core,04/05/2022,IS/IT,Technology,Cabinet Office,CORE-PINV-036281,"69,350.53 ",End User Software & Hardware,,,,,,,,,
