Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ Church Upper Armley CofE VC Primary School,22AYF0506717,"69,214.51",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ Church Upper Armley CofE VC Primary School,APP206407,"26,900.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the King Catholic Academy,22AYF0533526,"77,562.90",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ the King Catholic Academy,APP202532,"30,158.75",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ the King Catholic and Church of England Primary School,EUPS828599,"32,627.12",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the King Catholic Primary School,22AYF0519751,"123,730.11",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the King Catholic Primary School,22AYF0519752,"29,890.57",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the King Catholic Primary School,22AYF0531030,"53,415.05",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ The King Catholic Primary School,22AYF0527259,"113,490.90",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ The King Catholic Primary School,APP202062,"25,546.25",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the King Catholic Voluntary Academy,22AYF0531448,"66,003.79",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ The King Catholic Voluntary Academy,22AYF0531661,"208,021.51",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ The King Catholic Voluntary Academy,APP206296,"25,597.50",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,"Christ The King Roman Catholic Primary School, A V",22AYF0524623,"104,476.00",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,"Christ The King Roman Catholic Primary School, A V",APP203312,"30,158.75",Current grants - Academy Trust
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CHRIST THE KING SIXTH FORM COLLEGE,ED212220210530743,"54,269.58",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CHRIST THE KING SIXTH FORM COLLEGE,ED212220210530744,"1,526,471.32",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CHRIST THE KING SIXTH FORM COLLEGE,ED212220210530745,"33,912.00",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CHRIST THE KING SIXTH FORM COLLEGE,ED212220210530749,"32,140.41",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CHRIST THE KING SIXTH FORM COLLEGE,ED212220210530750,"68,399.03",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CHRIST THE KING SIXTH FORM COLLEGE,ED212220210530751,"108,674.19",Current grants - Private Sector
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the King Voluntary Academy,22AYF0526091,"339,772.48",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the King Voluntary Academy,22AYF0526093,"29,811.18",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ the King Voluntary Academy,APP200558,"31,663.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ the Sower Ecumenical School,22AYF0526431,"94,216.41",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christchurch CofE Primary School,22AYF0514215,"62,028.42",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christchurch Junior School,22AYF0541236,"151,264.11",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christchurch Junior School,APP205726,"28,572.50",Current grants - Academy Trust
Department for Education,ESFA,12/04/2022,Grants Expenditure,ESFA Funding,CHRISTIAN COPYRIGHT LICENSING INTERNATIONAL LTD,S-PINV029183,"4,267,955.47",Current grants - Local Government
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christleton High School,22AYF0537408,"113,457.63",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christleton High School,22AYF0537412,"465,201.46",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christleton High School,22AYF0537413,"30,722.10",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christleton High School,APP198872,"40,830.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christopher Pickering Primary School,22AYF0520081,"148,693.05",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christopher Pickering Primary School,APP202244,"50,351.25",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christopher Rawlins CE Primary School,22AYF0526565,"68,312.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christopher Whitehead Language College,22AYF0512499,"566,328.60",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christopher Whitehead Language College,22AYF0512502,"72,316.67",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christopher Whitehead Language College,APP199049,"74,311.25",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ's College,22AYF0515991,"217,926.88",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ's College,APP200365,"44,016.25",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ's College Finchley,22AYF0512506,"369,128.90",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Christ's College Finchley,22AYF0512509,"50,015.25",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Christ's College Finchley,APP199465,"61,358.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,"Christ's College, Guildford",22AYF0536240,"331,835.00",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,"Christ's College, Guildford",APP203469,"34,815.00",Current grants - Academy Trust
Department for Education,ESFA,22/04/2022,Grants Expenditure,ESFA Apprenticeships,cHRysos HR Solutions Ltd,FCSAPP A465506-A,"32,393.49",Current grants - Private Sector
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,CHS South,22AYF0527620,"342,260.24",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,CHS South,APP206076,"130,112.50",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Chudleigh Knighton Church of England Primary Schoo,22AYF0535978,"33,728.34",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Chulmleigh Community College,22AYF0512535,"305,545.09",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Chulmleigh Community College,APP199158,"34,065.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Chulmleigh Primary School,22AYF0512538,"55,113.52",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Church Drive Primary School,22AYF0525302,"100,749.01",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Church Drive Primary School,APP204288,"29,072.50",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Church Gresley Infant and Nursery School,22AYF0520982,"83,447.49",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Church Hill Church of England Junior School,22AYF0512544,"104,421.91",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Church Hill Infant School,22AYF0510728,"67,123.71",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Church Hill Middle School,22AYF0511977,"132,238.26",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Church Hill Middle School,APP203497,"39,265.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Church Langton Church of England Primary School,22AYF0522005,"59,597.62",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,CHURCH STRETTON SCHOOL,22AYF0541065,"245,033.19",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,CHURCH STRETTON SCHOOL,APP201052,"29,088.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchdown School,22AYF0512546,"567,411.65",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchdown School,22AYF0512548,"79,370.09",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchdown School,APP199649,"53,148.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchdown Village Infant School,22AYF0512553,"52,903.47",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchend Primary Academy,22AYF0512556,"141,788.63",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchend Primary Academy,APP198709,"31,426.25",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchfield CE Primary Academy,22AYF0530764,"50,436.66",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchfield Church of England Academy,22AYF0514598,"93,018.52",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchfield Church of England Academy,APP204508,"27,908.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchfield Church School,22AYF0533238,"136,592.99",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchfield Church School,APP200915,"52,860.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchfield Primary,22AYF0542717,"135,925.48",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchfield Primary,APP207249,"43,608.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchfield Primary School,22AYF0520771,"218,573.99",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchfield Primary School,APP205792,"70,190.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchfields Primary School,22AYF0512948,"116,266.65",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchfields Primary School,22AYF0527721,"151,630.42",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchfields Primary School,APP201636,"28,400.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchill Academy,22AYF0512559,"566,667.36",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchill Academy,22AYF0512560,"35,299.90",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchill Academy,22AYF0512561,"112,671.31",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchill Academy,APP199137,"41,287.50",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchill Gardens Primary Academy,22AYF0517519,"81,447.23",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchill Gardens Primary Academy,APP201430,"30,262.50",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchill Park School,22AYF0521592,"162,499.94",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchill Park School,APP205799,"27,438.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchill Special Free School,22AYF0541750,"58,333.31",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchtown Primary School,22AYF0516149,"233,211.33",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchtown Primary School,22AYF0516150,"33,263.56",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchtown Primary School,APP206660,"35,745.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchward School,22AYF0511216,"52,499.98",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churchwood Primary Academy,22AYF0541868,"73,455.38",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churchwood Primary Academy,APP202505,"25,210.00",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churnet View Middle School,22AYF0539628,"185,798.58",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Churnet View Middle School,APP203606,"41,481.25",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churston Ferrers Grammar School Academy,22AYF0512566,"304,747.74",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churston Ferrers Grammar School Academy,22AYF0512567,"39,104.62",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Churston Ferrers Grammar School Academy,22AYF0512568,"116,034.11",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,CICELY HAUGHTON SCHOOL,22AYF0523547,"46,666.65",Current grants - Academy Trust
Department for Education,ESFA,22/04/2022,Grants Expenditure,ESFA Apprenticeships,CILEx Law School Limited,FCSAPP A465600-A,"90,871.60",Current grants - Private Sector
Department for Education,ESFA,22/04/2022,Grants Expenditure,ESFA Apprenticeships,CIPFA Business Limited,FCSAPP A465487-A,"211,572.96",Current grants - Private Sector
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Cippenham Primary School,22AYF0536173,"352,272.02",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Cippenham Primary School,APP199934,"65,706.25",Current grants - Academy Trust
Department for Education,ESFA,22/04/2022,Grants Expenditure,ESFA Apprenticeships,CIPS CORPORATE SERVICES LIMITED,FCSAPP A464658-A,"120,316.91",Current grants - Private Sector
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,CIRENCESTER DEER PARK SCHOOL,22AYF0513342,"415,565.63",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,CIRENCESTER DEER PARK SCHOOL,APP198761,"38,993.75",Current grants - Academy Trust
Department for Education,ESFA,01/04/2022,Grants Expenditure,ESFA Funding,Cirencester Kingshill School,22AYF0512610,"394,383.28",Current grants - Academy Trust
Department for Education,ESFA,08/04/2022,Grants Expenditure,ESFA Funding,Cirencester Kingshill School,APP199327,"41,027.50",Current grants - Academy Trust
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CIRENCESTER TERTIARY COLLEGE,ED212220210530717,"1,382,872.19",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CIRENCESTER TERTIARY COLLEGE,ED212220210530718,"27,129.60",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CIRENCESTER TERTIARY COLLEGE,ED212220210530722,"56,091.37",Current grants - Private Sector
Department for Education,ESFA,19/04/2022,Grants Expenditure,ESFA Funding,CIRENCESTER TERTIARY COLLEGE,ED212220210530723,"87,369.08",Current grants - Private Sector
