Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,15/02/2022,Other Costs,Operational Finance,Bates Office Services Ltd,CORE-PINV-031433,"26,964.00","Office Furniture, Fixtures & Fittings",,,,,,,,,
Department for Education,Core,22/02/2022,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-032941,"316,313.50",Buildings additions,,,,,,,,,
Department for Education,Core,04/02/2022,IS/IT,Funding,WellData Ltd,CORE-PINV-032080,"55,636.00",ICT Support & Services,,,,,,,,,
Department for Education,Core,01/02/2022,Learning & Development,Commercial,Cabinet Office,CORE-PINV-031732,"47,250.00",Professsions Development,,,,,,,,,
Department for Education,Core,04/02/2022,Other Goods & Services,Commercial,2BUY2.COM LTD,CORE-PINV-032041,"122,381.00",Professional Services,,,,,,,,,
Department for Education,Core,18/02/2022,Other Goods & Services,Commercial,2BUY2.COM LTD,CORE-PINV-032808,"57,863.59",Professional Services,,,,,,,,,
Department for Education,Core,09/02/2022,Other Goods & Services,Commercial,INVESTIGO LTD,CORE-PINV-032389,"85,481.09",Managed Service/Professional service ,,,,,,,,,
Department for Education,Core,01/02/2022,Other Goods & Services,Commercial,PLACE GROUP LTD,CORE-PINV-031660,"116,198.00",Professional Services,,,,,,,,,
Department for Education,Core,01/02/2022,Other Goods & Services,Commercial,PLACE GROUP LTD,CORE-PINV-031659,"71,164.00",Professional Services,,,,,,,,,
Department for Education,Core,11/02/2022,Other Costs,Commercial,ANDIGITAL LIMITED,CORE-PINV-032470,"143,640.00",Software Development,,,,,,,,,
Department for Education,Core,10/02/2022,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-032417,"35,269.87",Professional Services,,,,,,,,,
Department for Education,Core,17/02/2022,Other Goods & Services,Commercial,WILLIS LIMITED,CORE-PINV-032774,"69,989.10",Professional Services,,,,,,,,,
Department for Education,Core,28/02/2022,Other Goods & Services,Commercial,GOVERNMENT ACTUARYS DEPT,CORE-PINV-033231,"54,002.81",Professional Services,,,,,,,,,
Department for Education,Core,23/02/2022,Staff - Secondee,Commercial Delivery,Cabinet Office,CORE-PINV-032806,"1,524,580.71",Payment for seconded staff,,,,,,,,,
Department for Education,Core,18/02/2022,Staff - Secondee,Commercial Delivery,Cabinet Office,CORE-PINV-032807,"85,346.25",Payment for seconded staff,,,,,,,,,
Department for Education,Core,03/02/2022,Staff - Temporary Staff,Human Resources,Cabinet Office,CORE-PINV-028515,"49,896.00",Short term & agency staff,,,,,,,,,
Department for Education,Core,23/02/2022,Staff - Other,Human Resources,Cabinet Office,CORE-PINV-032537,"54,000.00",Occupational Health,,,,,,,,,
Department for Education,Core,08/02/2022,Staff - Bonuses,Human Resources,EDENRED,CORE-PINV-032232,"31,000.00",Rewards and recogniion,,,,,,,,,
Department for Education,Core,28/02/2022,Staff - Bonuses,Human Resources,EDENRED,CORE-PINV-033195,"39,225.00",Rewards and recogniion,,,,,,,,,
Department for Education,Core,04/02/2022,IS/IT,Human Resources,Netpremacy Limited,CORE-PINV-032064,"105,408.00",Software licences,,,,,,,,,
Department for Education,Core,11/02/2022,IS/IT,Human Resources,WORKDAY LTD,CORE-PINV-032494,"29,196.00",Software licences,,,,,,,,,
Department for Education,Core,28/02/2022,IS/IT,Human Resources,WORKDAY LTD,CORE-PINV-033201,"1,091,727.00",Software licences,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Digital and Technology,Bytes Software Services Ltd,CORE-PINV-031994,"76,306.94",End User Software & Hardware,,,,,,,,,
Department for Education,Core,01/02/2022,IS/IT,Digital and Technology,CDW LTD,CORE-PINV-031671,"28,761.60",End User Software & Hardware,,,,,,,,,
Department for Education,Core,18/02/2022,IS/IT,Digital and Technology,Methods Business and Digital Technology Ltd,CORE-PINV-032798,"99,500.00",Systems Operations,,,,,,,,,
Department for Education,Core,17/02/2022,IS/IT,Digital and Technology,VODAFONE ENTERPRISE U.K. (Fixed Line),CORE-PINV-032777,"25,977.52",Telecoms,,,,,,,,,
Department for Education,Core,18/02/2022,IS/IT,Digital and Technology,Vohkus Limited ,CORE-PINV-032784,"83,064.00",ICT Hardware,,,,,,,,,
Department for Education,Core,04/02/2022,IS/IT,Digital and Technology,XMA Ltd,CORE-PINV-031727,"38,860.20",ICT Hardware,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Digital and Technology,XMA Ltd,CORE-PINV-031749,"38,860.20",ICT Hardware,,,,,,,,,
Department for Education,Core,28/02/2022,IS/IT,Digital and Technology,XMA Ltd,CORE-PINV-033179,"49,091.40",ICT Hardware,,,,,,,,,
Department for Education,Core,28/02/2022,IS/IT,Digital and Technology,XMA Ltd,CORE-PINV-033183,"49,091.40",ICT Hardware,,,,,,,,,
Department for Education,Core,28/02/2022,IS/IT,Digital and Technology,XMA Ltd,CORE-PINV-033184,"49,091.40",ICT Hardware,,,,,,,,,
Department for Education,Core,28/02/2022,IS/IT,Digital and Technology,XMA Ltd,CORE-PINV-033180,"49,091.40",ICT Hardware,,,,,,,,,
Department for Education,Core,03/02/2022,Other Goods & Services,Digital and Technology,CABINET OFFICE RM SHARED SERVICES,CORE-PINV-031864,"280,255.00",Fast Stream,,,,,,,,,
Department for Education,Core,04/02/2022,Learning & Development,Digital and Technology,CSL KPMG LLP,CORE-PINV-032047,"39,130.00",Core Skills,,,,,,,,,
Department for Education,Core,10/02/2022,Learning & Development,Digital and Technology,CSL KPMG LLP,CORE-PINV-032439,"39,130.00",Core Skills,,,,,,,,,
Department for Education,Core,21/02/2022,Other Goods & Services,Digital and Technology,FARSIGHT CONSULTING LIMITED,CORE-PINV-032832,"47,810.70",Professional Services,,,,,,,,,
Department for Education,Core,04/02/2022,Learning & Development,Digital and Technology,PLURALSIGHT LLC,CUPS0038687,"53,398.45",Training costs,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0038713,"50,054.77",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0039048,"30,662.52",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0039953,"27,417.59",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,CORNWALL COUNCIL,CUPS0039033,"26,167.34",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,CORNWALL COUNCIL,CUPS0038864,"38,131.00",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0039023,"137,359.00",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,Eden Academy Trust Limited,CUPS0039987,"57,548.72",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,Eden Learning Trust,CUPS0038844,"45,662.42",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,ESSEX COUNTY COUNCIL,CUPS0038711,"51,176.37",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,Europa School UK,CUPS0039961,"137,521.50",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,Extend Learning Academies Network,CUPS0038715,"41,233.30",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,Greenshaw Learning Trust,CUPS0039065,"71,345.83",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,Greenshaw Learning Trust,CUPS0039066,"105,115.02",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,KENT COUNTY COUNCIL,CUPS0039936,"25,835.08",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,Lincoln Diocesan Board of Education,CUPS0038718,"26,054.05",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0038703,"29,717.17",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0038721,"41,712.31",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,LIVERPOOL CITY COUNCIL,CUPS0039997,"80,548.32",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,NEW COLLEGE DURHAM,CUPS0039037,"39,422.17",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0038702,"37,640.30",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0039035,"43,862.35",Capital grants - Local Government,,,,,,,,,
