Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,15/02/2023,Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-051965,"41,472.00",Professional Services
Department for Education,Core,06/02/2023,IS/IT,Technology,COMPUTACENTER PLC,CORE-PINV-051643,"1,257,278.65",End User Software & Hardware
Department for Education,Core,22/02/2023,Other Goods & Services,Technology,NCC Group Security Services Ltd,CORE-PINV-052265,"56,880.00",Professional Services
Department for Education,Core,24/02/2023,Other Goods & Services,Technology,NCC Group Security Services Ltd,CORE-PINV-052683,"214,440.00",Professional Services
Department for Education,Core,08/02/2023,IS/IT,Technology,Computacenter UK Ltd,CORE-PINV-051213,"35,694.32",End User Hardware & Software
Department for Education,Core,08/02/2023,IS/IT,Technology,Computacenter UK Ltd,CORE-PINV-051213,"72,482.56",End User Hardware & Software
Department for Education,Core,06/02/2023,IS/IT,Technology,SOL-TEC LIMITED,CORE-PINV-051695,"55,284.70",Systems Operations
Department for Education,Core,06/02/2023,Staff - Temporary Staff,Technology,SOL-TEC LIMITED,CORE-PINV-051699,"28,351.03",Short term & agency staff
Department for Education,Core,06/02/2023,Staff - Temporary Staff,Technology,SOL-TEC LIMITED,CORE-PINV-051700,"69,973.20",Short term & agency staff
Department for Education,Core,15/02/2023,IS/IT,Technology,Bytes Software Services Ltd,CORE-PINV-052348,"1,327,875.59",Systems Development
Department for Education,Core,16/02/2023,IS/IT,Technology,Methods Business and Digital Technology Ltd,CORE-PINV-052327,"94,968.30",Systems Operations
Department for Education,Core,16/02/2023,IS/IT,Technology,Methods Business and Digital Technology Ltd,CORE-PINV-052351,"225,200.10",Systems Operations
Department for Education,Core,24/02/2023,Other Costs,Technology,Insight Direct (UK) Ltd,CORE-PINV-052931,"102,224.40",Software Licences
Department for Education,Core,03/02/2023,Other Goods & Services,SARDIS,ECORYS UK LTD,CORE-PINV-051270,"63,718.00",Research & Evaluation
Department for Education,Core,07/02/2023,Other Goods & Services,SARDIS,IFF RESEARCH LTD,CORE-PINV-051845,"540,710.27",Research & Evaluation
Department for Education,Core,10/02/2023,Other Goods & Services,SARDIS,IFF RESEARCH LTD,CORE-PINV-052032,"23,912.50",Research & Evaluation
Department for Education,Core,10/02/2023,Other Goods & Services,SARDIS,IFF RESEARCH LTD,CORE-PINV-052219,"22,496.25",Research & Evaluation
Department for Education,Core,17/02/2023,Other Goods & Services,SARDIS,IFF RESEARCH LTD,CORE-PINV-052489,"33,542.00",Research & Evaluation
Department for Education,Core,03/02/2023,Other Costs,SARDIS,NATIONAL FOUNDATION FOR EDUCATIONAL RESEARCH NFER,CORE-PINV-051523,"55,683.90",Research & development
Department for Education,Core,03/02/2023,Other Costs,SARDIS,LSE ENTERPRISE LTD,CORE-PINV-051164,"81,231.25",Research & development
Department for Education,Core,06/02/2023,Other Costs,SARDIS,IMPACTED LIMITED,CORE-PINV-051705,"51,300.00",Research & development
Department for Education,Core,09/02/2023,Other Costs,SARDIS,IPSOS (MARKET RESEARCH) LTD,CORE-PINV-052084,"80,971.00",Research & development
Department for Education,Core,10/02/2023,Other Costs,SARDIS,NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-052226,"80,000.00",Research & development
Department for Education,Core,24/02/2023,Office Costs,Data,Restore PLC,CORE-PINV-052945,"26,297.46",Records management
Department for Education,Core,24/02/2023,Office Costs,Data,IRON MOUNTAIN UK LTD,CORE-PINV-052883,"26,404.82",Records management
Department for Education,Core,16/02/2023,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052061,"31,000.00",ICT repair & maintenance
Department for Education,Core,16/02/2023,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052057,"41,490.00",ICT repair & maintenance
Department for Education,Core,16/02/2023,Other Costs,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052028,"38,121.60",Software.Development
Department for Education,Core,16/02/2023,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052026,"115,122.00",ICT repair & maintenance
Department for Education,Core,16/02/2023,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052025,"149,006.40",ICT repair & maintenance
