Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,23/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,CORE-PINV-015204,123181.20,Other Professional Services
Department for Education,DfE Core,23/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-PINV-015471,24945.00,Research and Development
Department for Education,DfE Core,23/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-PINV-015471,24468.64,Research and Development
Department for Education,DfE Core,26/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,UNIVERSITY OF EAST ANGLIA,CORE-PINV-016328,37477.21,Research and Development
Department for Education,DfE Core,04/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,BARNARDOS,CORE-PINV-014830,1050000.00,Other Professional Services
Department for Education,DfE Core,11/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NSPCC,CORE-MAIN-013545,50000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,03/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,Royal National Children's Springboard Foundation,CORE-PINV-014793,62500.00,Other Professional Services
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NSPCC,CORE-MAIN-014590,100000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,23/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,THE DARTINGTON HALL TRUST,CORE-PINV-015985,177287.25,Other Professional Services
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,TOGETHER FOR CHILDREN SUNDERLAND,CORE-MAIN-013290,103292.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,Brighter Futures for Children Ltd,CORE-MAIN-013291,731516.00,Grants to educational establishments or not for profit organisations including other businesses
