Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,28/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH TYNESIDE,1041114491,150000.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/02/2020,Professional Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,1041110288,2232205.00,"Advisory services including fees, travel and expenses"
Department for Education,DEPARTMENT FOR EDUCATION,04/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LANCASHIRE COUNTY COUNCIL,1041110441,117071.26,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,06/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,1041110812,273152.97,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,06/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,1041110812,23919.03,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,11/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,ACHIEVING FOR CHILDREN,1041111317,282984.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,13/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,SKILLS FOR CARE LTD,1041111868,532000.00,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,13/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,SKILLS FOR CARE LTD,1041111868,46968.33,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,13/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,SKILLS FOR CARE LTD,1041111868,9393.67,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,19/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MOTT MACDONALD LTD,1041113061,455777.00,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,19/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MOTT MACDONALD LTD,1041113061,91155.40,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,24/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,MEDWAY COUNCIL,1041113563,495837.83,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,24/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,1041113574,105946.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,24/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,1041113657,71837.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,24/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,BOURNEMOUTH CHRISTCHURCH & POOLE COUNCIL,1041113685,64466.47,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,25/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,CARDIFF UNIVERSITY,1041113736,29114.90,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,27/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,HERTFORDSHIRE COUNTY COUNCIL,1041114221,117704.89,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,27/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,STOKE ON TRENT CITY COUNCIL,1041114254,151300.22,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,27/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF BROMLEY COUNCIL,1041114273,49242.40,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,27/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LANCASHIRE COUNTY COUNCIL,1041114274,33250.05,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,27/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,BUCKINGHAMSHIRE COUNTY COUNCIL,1041114287,51983.41,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,27/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF ISLINGTON COUNCIL,1041114288,66783.43,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,27/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,COVENTRY CITY COUNCIL,1041114290,299089.35,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,28/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,HERTFORDSHIRE COUNTY COUNCIL,1041114298,47550.07,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,28/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,ESSEX COUNTY COUNCIL,1041114477,90450.13,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/02/2020,Grants expenditure,COMMUNICATIONS DIRECTORATE,FAMILY RIGHTS GROUP LTD,1041110440,58313.00,Grants to educational establishments or not for profit organisations including other businesses
