Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LEEDS CITY COUNCIL,CORE-MAIN-010145,56202.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH YORKSHIRE COUNTY COUNCIL,CORE-MAIN-010146,34595.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,WESTMINSTER CITY COUNCIL,CORE-MAIN-010148,67953.66,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,HAMMERSMITH & FULHAM LONDON BOROUGH COUNCIL,CORE-MAIN-010149,67953.67,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,CORE-MAIN-010150,67953.67,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,ESSEX COUNTY COUNCIL,CORE-MAIN-010152,219911.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH TYNESIDE METRO BOROUGH COUNCIL,CORE-MAIN-010153,83562.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SOUTH TYNESIDE COUNCIL,CORE-MAIN-010154,77019.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CHESHIRE WEST & CHESTER COUNCIL,CORE-MAIN-010155,40000.00,Grants to local authorities
Department for Education,DfE Core,23/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,BURGES SALMON COMPANY LTD,CORE-PINV-013038,27000.00,Other Professional Services
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,CUPS0018422,119897.94,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,CUPS0018423,213042.72,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,CUPS0018425,120876.44,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,CUPS0018426,225106.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,CUPS0018427,308922.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,CUPS0018429,122936.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,CUPS0018431,111869.29,Grants to local authorities
Department for Education,DfE Core,03/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,PETERBOROUGH CITY COUNCIL,CORE-MAIN-009132,54880.20,Grants to local authorities
Department for Education,DfE Core,03/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SHEFFIELD CITY COUNCIL,CORE-MAIN-009133,104183.49,Grants to local authorities
Department for Education,DfE Core,11/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LEEDS CITY COUNCIL,CORE-MAIN-009339,62066.76,Grants to local authorities
Department for Education,DfE Core,11/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,"Bournemouth, Christchurch and Poole Council",CORE-MAIN-009340,25344.32,Grants to local authorities
Department for Education,DfE Core,01/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-011549,599543.63,Other Professional Services
Department for Education,DfE Core,01/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-011549,112241.20,Other Professional Services
Department for Education,DfE Core,08/12/2020,Professional Services,CHILDRENS SOCIAL CARE,ALPHA PLUS CONSULTANCY LTD,CORE-PINV-011834,64831.34,EDUCATIONAL SERVICES
Department for Education,DfE Core,08/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,SKILLS FOR CARE LTD,CORE-PINV-011996,802000.00,Other Professional Services
Department for Education,DfE Core,08/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,SKILLS FOR CARE LTD,CORE-PINV-011999,41361.60,Other Professional Services
Department for Education,DfE Core,14/12/2020,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-012327,695000.00,Training & Development costs
Department for Education,DfE Core,14/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,VSC Plus Limited,CORE-PINV-012328,64702.80,Other Professional Services
Department for Education,DfE Core,14/12/2020,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-012366,595825.11,Training & Development costs
Department for Education,DfE Core,14/12/2020,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-012366,93534.33,Training & Development costs
Department for Education,DfE Core,14/12/2020,Professional Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-012367,108860.00,EDUCATIONAL SERVICES
Department for Education,DfE Core,14/12/2020,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-012368,1245000.00,Training & Development costs
Department for Education,DfE Core,18/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,Mott MacDonald,CORE-PINV-012708,216594.00,Other Professional Services
Department for Education,DfE Core,29/12/2020,Professional Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-013174,108860.00,EDUCATIONAL SERVICES
Department for Education,DfE Core,29/12/2020,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-013176,599543.63,Training & Development costs
Department for Education,DfE Core,29/12/2020,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-013176,93534.33,Training & Development costs
Department for Education,DfE Core,07/12/2020,Consultancy,COMMUNICATIONS DIRECTORATE,THE GOVERNMENT LEGAL DEPARTMENT,CORE-PINV-011927,28754.80,"Advisory services including fees, travel and expenses"
Department for Education,DfE Core,16/12/2020,Consultancy,COMMUNICATIONS DIRECTORATE,THE GOVERNMENT LEGAL DEPARTMENT,CORE-PINV-012593,47636.00,"Advisory services including fees, travel and expenses"
Department for Education,DfE Core,11/12/2020,Grants expenditure,Adoption and Children in Care Division,CAMBRIDGE EDUCATION,CORE-MAIN-009341,1843886.21,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/12/2020,Grants expenditure,Adoption and Children in Care Division,ST CHRISTOPHERS FELLOWSHIP,CORE-MAIN-009342,26558.37,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/12/2020,Grants expenditure,Adoption and Children in Care Division,BREAK CHARITY,CORE-MAIN-009343,56643.64,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/12/2020,Grants expenditure,Adoption and Children in Care Division,CAMBRIDGESHIRE COUNTY COUNCIL,CORE-MAIN-009345,79517.83,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,LINCOLNSHIRE COUNTY COUNCIL,CORE-MAIN-010156,58357.38,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BARKING & DAGENHAM LONDON BOROUGH COUNCIL,CORE-MAIN-010157,50841.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BARNET LONDON BOROUGH COUNCIL,CORE-MAIN-010158,42771.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BATH & NORTH EAST SOMERSET COUNCIL,CORE-MAIN-010160,29052.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BIRMINGHAM CITY COUNCIL,CORE-MAIN-010162,159788.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BLACKPOOL BOROUGH COUNCIL,CORE-MAIN-010164,30666.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BOLTON METRO BOROUGH COUNCIL,CORE-MAIN-010165,37122.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,"Bournemouth, Christchurch and Poole Council",CORE-MAIN-010166,41157.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BRADFORD CITY COUNCIL,CORE-MAIN-010168,65368.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BRENT LONDON BOROUGH COUNCIL,CORE-MAIN-010169,50034.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BRIGHTON & HOVE CITY COUNCIL,CORE-MAIN-010170,76666.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BRISTOL CITY COUNCIL,CORE-MAIN-010171,107332.75,Grants to local authorities
