Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,29/06/2022,Staff - Other,Operational Finance,HOME OFFICE,CORE-PINV-039371,"116,310.00 ",Security Vetting,,,,,,,,,
Department for Education,Core,01/06/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-038058,"33,628.13 ",Building Improvements,,,,,,,,,
Department for Education,Core,01/06/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-038061,"28,472.40 ",Building Improvements,,,,,,,,,
Department for Education,Core,30/06/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-037477,"113,638.31 ",Building Improvements,,,,,,,,,
Department for Education,Core,30/06/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-037480,"66,026.99 ",Building Improvements,,,,,,,,,
Department for Education,Core,07/06/2022,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-038254,"46,449.65 ",Building Improvements,,,,,,,,,
Department for Education,Core,30/06/2022,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-039478,"94,822.49 ",Building Improvements,,,,,,,,,
Department for Education,Core,10/06/2022,IS/IT,Funding,WellData Ltd,CORE-PINV-038678,"57,300.00 ",ICT Support & Services,,,,,,,,,
Department for Education,Core,10/06/2022,Staff - Temporary Staff,Commercial,INVESTIGO LTD,CORE-PINV-032390,"62,142.53 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,10/06/2022,Staff - Temporary Staff,Commercial,INVESTIGO LTD,CORE-PINV-038646,"88,433.66 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,17/06/2022,Staff - Temporary Staff,Commercial,INVESTIGO LTD,CORE-PINV-038939,"64,315.39 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,30/06/2022,Grants Expenditure,Commercial,Energy Sparks,CUPS0047124,"210,000.00 ",Capital grants - Public Corporation,,,,,,,,,
Department for Education,Core,24/06/2022,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-039333,"39,217.08 ",Professional Services,,,,,,,,,
Department for Education,Core,24/06/2022,Other Goods & Services,Commercial,WILLIS LIMITED,CORE-PINV-039343,"73,944.30 ",Professional Services,,,,,,,,,
Department for Education,Core,16/06/2022,Other Goods & Services,Commercial,Cabinet Office,CORE-PINV-038926,"86,196.00 ",Professional Services,,,,,,,,,
Department for Education,Core,22/06/2022,Other Goods & Services,Commercial,Cabinet Office,CORE-PINV-037327,"26,790.00 ",Professional Services,,,,,,,,,
Department for Education,Core,15/06/2022,Staff - Temporary Staff,Commercial,PIXEL GROUP LTD,CORE-PINV-038914,"49,980.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,15/06/2022,Staff - Temporary Staff,Commercial,PIXEL GROUP LTD,CORE-PINV-038912,"66,810.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,29/06/2022,Legal,Commercial,THE GOVERNMENT LEGAL DEPARTMENT,CORE-PINV-039444,"365,000.00 ",Professional Services - Legal,,,,,,,,,
Department for Education,Core,08/06/2022,Other Goods & Services,Human Resources,Cabinet Office,CORE-PINV-037681,"165,959.76 ",Professional Services,,,,,,,,,
Department for Education,Core,09/06/2022,Learning & Development,Human Resources,CSL KPMG LLP,CORE-PINV-037761,"54,804.60 ",Diversity and Inclusion,,,,,,,,,
Department for Education,Core,09/06/2022,Learning & Development,Human Resources,CSL KPMG LLP,CORE-PCR-001295,"-65,766.00 ",Diversity and Inclusion,,,,,,,,,
Department for Education,Core,23/06/2022,IS/IT,Technology,COMPUTACENTER PLC,CORE-PINV-039118,"723,873.12 ",ICT Support & Services,,,,,,,,,
Department for Education,Core,09/06/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-038618,"26,418.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,24/06/2022,Grants Expenditure,Customer Experience and Digital,BEDFORD BOROUGH COUNCIL,CUPS0047144,"32,155.02 ",Capital grants,,,,,,,,,
Department for Education,Core,24/06/2022,Grants Expenditure,Customer Experience and Digital,KENT COUNTY COUNCIL,CUPS0047155,"36,317.98 ",Capital grants,,,,,,,,,
Department for Education,Core,24/06/2022,Grants Expenditure,Customer Experience and Digital,LIVERPOOL CITY COUNCIL,CUPS0047128,"89,809.72 ",Capital grants,,,,,,,,,
Department for Education,Core,01/06/2022,Grants Expenditure,Customer Experience and Digital,Reach South Academy Trust,CUPS0046824,"43,486.15 ",Capital grants,,,,,,,,,
Department for Education,Core,01/06/2022,Grants Expenditure,Customer Experience and Digital,Reach South Academy Trust,CUPS0046825,"29,615.25 ",Capital grants,,,,,,,,,
Department for Education,Core,01/06/2022,Grants Expenditure,Customer Experience and Digital,Reach South Academy Trust,CUPS0046827,"72,624.68 ",Capital grants,,,,,,,,,
Department for Education,Core,01/06/2022,Grants Expenditure,Customer Experience and Digital,Reach South Academy Trust,CUPS0046828,"30,572.81 ",Capital grants,,,,,,,,,
Department for Education,Core,24/06/2022,Grants Expenditure,Customer Experience and Digital,South Farnham Educational Trust,CUPS0047127,"39,571.07 ",Capital grants,,,,,,,,,
Department for Education,Core,24/06/2022,Grants Expenditure,Customer Experience and Digital,Southerly Point Co-Operative Multi-Academy Trust,CUPS0047140,"34,050.22 ",Capital grants,,,,,,,,,
Department for Education,Core,24/06/2022,Grants Expenditure,Customer Experience and Digital,The Moorlands Primary Federation,CUPS0047129,"26,002.38 ",Capital grants,,,,,,,,,
Department for Education,Core,10/06/2022,Grants Expenditure,Customer Experience and Digital,Westcountry Schools Trust,CUPS0046964,"25,141.57 ",Capital grants,,,,,,,,,
Department for Education,Core,10/06/2022,Grants Expenditure,Customer Experience and Digital,Westcountry Schools Trust,CUPS0046965,"81,640.53 ",Capital grants,,,,,,,,,
Department for Education,Core,10/06/2022,Grants Expenditure,Customer Experience and Digital,Westcountry Schools Trust,CUPS0046966,"78,543.12 ",Capital grants,,,,,,,,,
