Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,16/03/2022,IS/IT,Digital and Technology,VODAFONE ENTERPRISE U.K. (Fixed Line),CORE-PINV-034329,"25,754.72",Telecoms,,,,,,,,,
Department for Education,Core,10/03/2022,IS/IT,Digital and Technology,Probrand Limited,CORE-PINV-033971,"30,914.34",ICT Hardware,,,,,,,,,
Department for Education,Core,14/03/2022,IS/IT,Digital and Technology,Probrand Limited,CORE-PINV-033596,"58,722.30",Components & Peripherals,,,,,,,,,
Department for Education,Core,10/03/2022,Other Goods & Services,Digital and Technology,CABINET OFFICE RM SHARED SERVICES,CORE-PINV-033945,"237,909.00",Staff (Fast Stream,,,,,,,,,
Department for Education,Core,16/03/2022,Other Goods & Services,Digital and Technology,FARSIGHT CONSULTING LIMITED,CORE-PINV-034253,"28,811.94",Professional Services,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,An Daras Multi Academy Trust,CUPS0040724,"26,040.23",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,An Daras Multi Academy Trust,CUPS0040725,"30,211.16",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0040244,"35,845.26",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0040247,"54,031.20",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0040798,"49,862.77",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0040805,"115,559.82",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0040824,"112,366.78",Capital grants - Academy Trust,,,,,,,,,
