Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,R & D Economic Consultancy And Research,"Industrial Strategy, Science And Innovation - Business Growth",Frazer-nash Consultancy Ltd,371304,44902.5,Mf Devolved Admin-r & D Economic Consultancy And Research,RH4 1HJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Stationery,"Corporate Services - Policy, Delivery And Private Office","Personal Expense, Name Withheld",371697,39.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Stationery,"Corporate Services - Policy, Delivery And Private Office","Personal Expense, Name Withheld",372340,366.23,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Ict Maintenance & Upkeep,"People, Strategy And Higher Education - Strategy And Growth",Bit Zesty Ltd,372721,5013.54,Db: Queens Award-ict Maintenance & Upkeep,N1 9PF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Iff Research Ltd,370598,9879.21,Mf Devolved Admin-economic Consultancy & Research,EC3R 6HD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Office For National Statistics,372716,35490.29,Mf Devolved Admin-economic Consultancy & Research,NP10 8XG,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Economics For The Environment Consultancy Ltd,372797,38556.01,Mf Devolved Admin-economic Consultancy & Research,EC1Y 2AA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Legal Services And Advice Agency,Market Frameworks - Dg & Group Support,Government Legal Department,372394,5657.4,Mf Devolved Admin-legal Services And Advice Agency,SW1H 9GL,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Taxi Services Overseas,Scin - Ofc Negotiations - Scin - Ofc Negotiations,Personal Name Withheld,371248,11.6,Eu Exit Core Beis Staff: Negotiations Adm-taxi Services Overseas,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Taxi Services Overseas,Scin - Ofc Negotiations - Scin - Ofc Negotiations,Personal Name Withheld,371249,14.04,Eu Exit Core Beis Staff: Negotiations Adm-taxi Services Overseas,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Other Travel,Scin - Ofc Negotiations - Scin - Ofc Negotiations,Personal Name Withheld,371250,36.8,Eu Exit Core Beis Staff: Negotiations Adm-other Travel,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Other Travel,Scin - Ofc Negotiations - Scin - Ofc Negotiations,Personal Name Withheld,371251,47,Eu Exit Core Beis Staff: Negotiations Adm-other Travel,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,APM Project Management subscription,Scin - Ofc Negotiations - Scin - Ofc Negotiations,Personal Name Withheld,371704,70,Eu Exit Core Beis Staff: Negotiations Adm-professional Subscriptions,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Project Portfolio Management Consultancy,Scin - Ofc Negotiations - Scin - Ofc Negotiations,L.A. International Computer Consultants Ltd,372587,5004,Eu Exit: No Specific Dexeu Issue Prog-ppm Consultancy,ST1 5UB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Project Portfolio Management Consultancy,Scin - Ofc Negotiations - Scin - Ofc Negotiations,L.A. International Computer Consultants Ltd,372590,21016.8,Eu Exit: No Specific Dexeu Issue Prog-ppm Consultancy,ST1 5UB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Stationery,Scin - Ofc Negotiations - Scin - Ofc Negotiations,"Personal Expense, Name Withheld",372929,265.07,Eu Exit Core Beis Staff: Negotiations Adm-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Wsp Uk Ltd,371144,12810,Heat Networks Programme Costs-outsourced Programme Management,RG21 4HJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Royal Borough Of Kensington & Chelsea,371327,246300,Heat Network Delivery Unit-current Grants To Local Government,W8 7NX,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Triple Point Investment Management Llp,371396,269690.33,Heat Networks Programme Costs-outsourced Programme Management,EC4N 7AF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Research And Development Expenditure,Energy Transformation And Clean Growth - Energy Efficiency And Local,Risksol Consulting Ltd T/A Risk Solutions,371774,26500,Heat Networks Programme Costs-research And Development Expenditure,WA2 7LT,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Aecom Ltd,371777,184827.33,Heat Network Delivery Unit-current Grants To Local Government,AL1 3ER,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Wsp Uk Ltd,371796,50000,Heat Network Delivery Unit-current Grants To Local Government,RG21 4HJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Wsp Uk Ltd,371797,50000,Heat Network Delivery Unit-current Grants To Local Government,RG21 4HJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Logix It Recruitment Ltd,371852,2650,Heat Network Delivery Unit-outsourced Programme Management,BR1 1NA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Logix It Recruitment Ltd,371853,2650,Heat Network Delivery Unit-outsourced Programme Management,BR1 1NA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Logix It Recruitment Ltd,371854,1908,Heat Network Delivery Unit-outsourced Programme Management,BR1 1NA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Greenfield Nordic Ltd,372054,11054.4,Heat Networks Programme Costs-outsourced Programme Management,S1 2BJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Ramboll Uk Ltd,372646,50000,Heat Network Delivery Unit-current Grants To Local Government,SE1 8NW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Durham County Council,372715,150500,Heat Network Delivery Unit-current Grants To Local Government,DH1 5UQ,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Ove Arup And Partners Ltd,372903,126000,Heat Network Delivery Unit-current Grants To Local Government,NE1 3PL,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Legal Costs,Energy Transformation And Clean Growth - Energy Efficiency And Local,Tlt Llp,373371,19836.54,Heat Networks Programme Costs-legal Costs,BS1 6TP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Hr Training Education Consultancy,"Trade, Europe And Analysis - Analysis Directorate",Matt Hamnett & Associates Ltd,370089,8910,Mf Devolved Admin-hr Training Educat Consultcy,N5 1AZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Uk Subscriptions,"Trade, Europe And Analysis - Analysis Directorate",Springboard Research Ltd,371128,12220,Mf Devolved Admin-uk Subscriptions,MK14 6PH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,International Subscriptions,Business Sectors - Advanced Manufacturing,Oxford Economics Ltd,370664,15107.63,Ams:Research-international Subscriptions,OX1 1HB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Stationery,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",372331,188.57,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Other Travel,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",373119,307.95,Mf Devolved Admin-other Travel,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Other Travel,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",373120,320,Mf Devolved Admin-other Travel,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",370370,249,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",370676,11.19,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",372687,396.56,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",373550,131.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",370187,17.59,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",371062,226.76,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",372338,218.4,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",372345,209.86,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",372706,235.57,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",372937,196.39,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
