Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Current Grants To Private Sector - Npish,Energy Transformation And Clean Growth - International Energy And Climate Finance,Universidad De Los Andes,370619,43104.97,International Climate Finance (Icf)-Current Grants To Private Sector - Npish,111711,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",371069,45,International Climate Finance (Icf)-Stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",371086,114.99,International Climate Finance (Icf)-Stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",371097,81.6,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Current Grants To Private Sector - Npish,Energy Transformation And Clean Growth - International Energy And Climate Finance,Icf Consulting Services Ltd,371127,105546.33,International Climate Finance (Icf)-Current Grants To Private Sector - Npish,EC4R 1BE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Current Grants To Private Sector - Npish,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Ashden Sustainable Solutions, Better Lives",371312,143958,International Climate Finance (Icf)-Current Grants To Private Sector - Npish,SW1V 1AP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",371313,1435.25,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK11 9NQ,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",371314,1572.98,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK11 9NQ,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Current Grants To Private Sector - Npish,Energy Transformation And Clean Growth - International Energy And Climate Finance,Soluciones En Legislacion Y Politica Ambiental (Polea),371405,51705.84,International Climate Finance (Icf)-Current Grants To Private Sector - Npish,4000,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",371483,-1435.25,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK11 9NQ,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",371484,-1572.98,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK11 9NQ,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",371521,29.99,International Climate Finance (Icf)-Stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Other Staff Welfare Costs,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",371692,25,International Climate Finance (Icf)-Other Staff Welfare Costs,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Current Grants To Private Sector - Npish,Energy Transformation And Clean Growth - International Energy And Climate Finance,The World Bank,371784,497448.98,International Climate Finance (Icf)-Current Grants To Private Sector - Npish,20433,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Current Grants To Private Sector - Npish,Energy Transformation And Clean Growth - International Energy And Climate Finance,Idom Ingenieria Sa De C V,371919,6066,International Climate Finance (Icf)-Current Grants To Private Sector - Npish,6600,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Current Grants To Private Sector - Npish,Energy Transformation And Clean Growth - International Energy And Climate Finance,Idom Ingenieria Sa De C V,371919,73233,International Climate Finance (Icf)-Current Grants To Private Sector - Npish,6600,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",372458,808.98,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK10 1PX,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",372459,527.78,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK10 1PX,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Miscellaneous Expenditure - Overhead Incidental Expenses,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",372510,627.75,International Climate Finance (Icf)-Miscellaneous Expenditure - Overhead Incidental Expenses,MK11 9NQ,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",372682,18.52,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",372683,23.8,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",373124,100,International Climate Finance (Icf)-Stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",373131,96.96,International Climate Finance (Icf)-Stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",373261,158.18,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK10 1PX,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Locally Employed Staff - Basic Salary,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Foreign, Commonwealth And Development Office",373263,114.93,International Climate Finance (Icf)-Locally Employed Staff - Basic Salary,MK10 1PX,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",371694,14.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",370510,109.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Stationery,Energy Transformation And Clean Growth - International Energy And Climate Finance,"Personal Expense, Name Withheld",370878,124.06,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Meals,Energy And Security - Energy Development And Resilience,City Pantry Ltd,363944,-1583.23,Mf Devolved Admin-meals,SE1 2JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Meals,Energy And Security - Energy Development And Resilience,City Pantry Ltd,363944,150.78,Mf Devolved Admin-meals,SE1 2JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Meals,Energy And Security - Energy Development And Resilience,City Pantry Ltd,363944,355.49,Mf Devolved Admin-meals,SE1 2JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Meals,Energy And Security - Energy Development And Resilience,City Pantry Ltd,363944,2107.53,Mf Devolved Admin-meals,SE1 2JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Meals,Energy And Security - Energy Development And Resilience,City Pantry Ltd,363946,-932.23,Mf Devolved Admin-meals,SE1 2JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Meals,Energy And Security - Energy Development And Resilience,City Pantry Ltd,363946,360.66,Mf Devolved Admin-meals,SE1 2JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Meals,Energy And Security - Energy Development And Resilience,City Pantry Ltd,363946,1218.1,Mf Devolved Admin-meals,SE1 2JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Stationery,Energy And Security - Energy Development And Resilience,"Personal Expense, Name Withheld",371703,268.97,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Capital Grants To Private Sector - Persons & Npish,Energy Transformation And Clean Growth - Science And Innovation,Ukri - Engineering And Physical Sciences Research Council,361584,36617.02,Delivery Of Decc Energy Innovation-capital Grants To Private Sector - Persons & Npish,SN2 1FF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Capital Grants To Private Sector - Persons & Npish,Energy Transformation And Clean Growth - Science And Innovation,Ukri - Engineering And Physical Sciences Research Council,361585,16483.58,Delivery Of Decc Energy Innovation-capital Grants To Private Sector - Persons & Npish,SN2 1FF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Capital Grants To Private Sector - Persons & Npish,Energy Transformation And Clean Growth - Science And Innovation,Ukri - Engineering And Physical Sciences Research Council,361586,23132.59,Delivery Of Decc Energy Innovation-capital Grants To Private Sector - Persons & Npish,SN2 1FF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Stationery,Energy Transformation And Clean Growth - Science And Innovation,"Personal Expense, Name Withheld",370190,17.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,R & D Contractors,Energy Transformation And Clean Growth - Science And Innovation,Alexander Mann Solutions Ltd,370790,2161.52,Climate Change Science-r & D Contractors,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Aecom Ltd,370889,20000,Uk Energy Analysis-r & D Outsourced Other,AL1 3ER,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Professional Subscriptions,Energy Transformation And Clean Growth - Science And Innovation,"Personal Expense, Name Withheld",371080,232,Mf Devolved Admin-professional Subscriptions,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Leeds Beckett University,371685,102241,Uk Energy Analysis-r & D Outsourced Other,LS2 8NU,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Legal Costs,Energy Transformation And Clean Growth - Science And Innovation,Mott Macdonald Ltd,371802,4966.08,Energy Specialist Technical Framework-legal Costs,CR0 2EE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,R & D Research And Development Expenditure,Energy Transformation And Clean Growth - Science And Innovation,Kinberry Ltd,371810,16176,Delivery Of Decc Energy Innovation-r & D Research And Development Expenditure,BA6 8FD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,R & D Contractors,Energy Transformation And Clean Growth - Science And Innovation,Energy Systems Catapult Ltd,371826,26375.6,Climate Change Science-r & D Contractors,B4 6BS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Energy Systems Catapult Ltd,372393,-5000,Delivery Of Decc Energy Innovation-r & D Outsourced Other,B4 6BS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Energy Systems Catapult Ltd,372393,11000,Delivery Of Decc Energy Innovation-r & D Outsourced Other,B4 6BS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Climate Media Factory Ug,372996,-6504.28,Delivery Of Decc Energy Innovation-r & D Outsourced Other,14469,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Climate Media Factory Ug,372996,13008.57,Delivery Of Decc Energy Innovation-r & D Outsourced Other,14469,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/12/2020,International Subscriptions,Energy Transformation And Clean Growth - Science And Innovation,Agfw Projekt Gmbh,373327,31593.22,Non R And D Expenditure-international Subscriptions,60596,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Capital Grants To Private Sector - Persons & Npish,Energy Transformation And Clean Growth - Science And Innovation,Ukri - Engineering And Physical Sciences Research Council,373423,-16483.58,Delivery Of Decc Energy Innovation-capital Grants To Private Sector - Persons & Npish,SN2 1FF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Capital Grants To Private Sector - Persons & Npish,Energy Transformation And Clean Growth - Science And Innovation,Ukri - Engineering And Physical Sciences Research Council,373429,-23132.59,Delivery Of Decc Energy Innovation-capital Grants To Private Sector - Persons & Npish,SN2 1FF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Capital Grants To Private Sector - Persons & Npish,Energy Transformation And Clean Growth - Science And Innovation,Ukri - Engineering And Physical Sciences Research Council,373433,-36617.02,Delivery Of Decc Energy Innovation-capital Grants To Private Sector - Persons & Npish,SN2 1FF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/12/2020,Other Goods/Services,Energy Transformation And Clean Growth - Science And Innovation,Fraunhofer-gesellschaft Zur Förderung Der Angewandten Forschung E.V. (Faunhofer Ise),373602,5447.9,Non R And D Expenditure-other Goods/Services,79110,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy Transformation And Clean Growth - Science And Innovation,"Personal Expense, Name Withheld",370504,405.28,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Other Goods/Services,Energy Transformation And Clean Growth - Science And Innovation,Ricardo-aea Ltd,370763,54134.26,National Mitigation Analysis And Evidence Base-other Goods/Services,OX11 0QR,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Other Goods/Services,Energy Transformation And Clean Growth - Science And Innovation,Ricardo-aea Ltd,370798,3752.69,National Mitigation Analysis And Evidence Base-other Goods/Services,OX11 0QR,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Other Goods/Services,Energy Transformation And Clean Growth - Science And Innovation,Aether Ltd,370910,52737.55,National Mitigation Analysis And Evidence Base-other Goods/Services,OX1 1BY,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Other Goods/Services,Energy Transformation And Clean Growth - Science And Innovation,Ricardo-aea Ltd,373191,92807.44,National Mitigation Analysis And Evidence Base-other Goods/Services,OX11 0QR,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Met Office,370471,83333.33,Climate Change Science-r & D Outsourced Other,EX1 3PB,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Stationery,Energy Transformation And Clean Growth - Science And Innovation,"Personal Expense, Name Withheld",370509,15.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Stationery,Energy Transformation And Clean Growth - Science And Innovation,"Personal Expense, Name Withheld",371871,14.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,R & D Outsourced Other,Energy Transformation And Clean Growth - Science And Innovation,Uk Centre For Ecology And Hydrology,373196,59900.87,Climate Change Science-r & D Outsourced Other,OX10 8BB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Stationery,Energy And Security - Nuclear Directorate - Hsq,"Personal Expense, Name Withheld",370371,149.97,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Consultancy Expenditure,Energy And Security - Nuclear Directorate - Hsq,Pa Consulting Services Ltd,372430,41874,Cyber Security Programme-consultancy Expenditure,SG8 6DP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Mileage Allowance Uk,Energy And Security - Nuclear Directorate - Hsq,"Personal Expense, Name Withheld",372701,310.5,Mf Devolved Admin-mileage Allowance Uk,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,International Subscriptions,Energy And Security - Nuclear Directorate - Hsq,Organisation For The Prohibition Of Chemical Weapons (Opcw),370320,2758099.43,Opcw Annual Subscription-international Subscriptions,2517 JR,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,International Subscriptions,Energy And Security - Nuclear Directorate - Hsq,International Atomic Energy Agency,370638,-13427215.21,Iaea Annual Subscription-international Subscriptions,1400,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,International Subscriptions,Energy And Security - Nuclear Directorate - Hsq,International Atomic Energy Agency,370638,26854430.43,Iaea Annual Subscription-international Subscriptions,1400,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,International Subscriptions,Energy And Security - Nuclear Directorate - Hsq,International Atomic Energy Agency,370639,1806917.63,Iaea Annual Subscription-international Subscriptions,10017,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,International Subscriptions,Energy And Security - Nuclear Directorate - Hsq,International Atomic Energy Agency,370808,3552281.48,Contribution To The Iaea Technical Co-operation Fund-international Subscriptions,1400,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Energy And Security - Nuclear Directorate - Hsq,"Personal Expense, Name Withheld",371705,376.23,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Stationery,Energy And Security - Nuclear Directorate - Hsq,"Personal Expense, Name Withheld",371882,69.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Hsq,Office For Nuclear Regulation,372602,636030.17,Eu Exit: Euratrom Prog-other Professional Services,FY1 9JN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/12/2020,Current Grants To Overseas Bodies,Energy And Security - Nuclear Directorate - Hsq,Kings College London,372609,268186.65,Cabinet Office Funding To Gtrp Rdel-current Grants To Overseas Bodies,SE1 8WA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Current Grants To Overseas Bodies,Energy And Security - Nuclear Directorate - Hsq,National Nuclear Laboratory Ltd,372733,58764.69,Nuclear Security Programme-current Grants To Overseas Bodies,WA3 6AE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Hsq,National Nuclear Laboratory Ltd,372733,200235.26,Iaea Safeguards Support Programme-other Professional Services,WA3 6AE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Current Grants To Overseas Bodies,Energy And Security - Nuclear Directorate - Hsq,National Nuclear Laboratory Ltd,372735,21620.07,Nuclear Security Programme-current Grants To Overseas Bodies,WA3 6AE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Hsq,National Nuclear Laboratory Ltd,372735,73668.39,Iaea Safeguards Support Programme-other Professional Services,WA3 6AE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Current Grants To Overseas Bodies,Energy And Security - Nuclear Directorate - Hsq,Kings College London,372862,-268186.65,Cabinet Office Funding To Gtrp Rdel-current Grants To Overseas Bodies,SE1 8WA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/12/2020,Current Grants To Overseas Bodies,Energy And Security - Nuclear Directorate - Hsq,Kings College London,372949,267632.63,Cabinet Office Funding To Gtrp Rdel-current Grants To Overseas Bodies,SE1 8WA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Ss,Alexander Mann Solutions Ltd,369937,206.89,Mf Devolved Admin-other Professional Services,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Ss,Alexander Mann Solutions Ltd,370850,472.9,Mf Devolved Admin-other Professional Services,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Ss,Alexander Mann Solutions Ltd,371584,325.12,Mf Devolved Admin-other Professional Services,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Ss,Government Actuarys Department,371925,-8282.08,Nuclear Policy-other Professional Services,EC1A 1AB,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Other Professional Services,Energy And Security - Nuclear Directorate - Ss,Government Actuarys Department,371925,18220.58,Nuclear Policy-other Professional Services,EC1A 1AB,WGA ONLY,,,,,,,,,,,,,,,,,,
