Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Recoveries Account - Other Payables,Corporate Payments,Amphenol Ltd,391823,9,Default-recoveries Account - Other Payables,CT5 3JF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,392168,14551.46,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,392171,88598.68,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/05/2021,Payment To Barclaycard For Erac (Enterprise-rent-a-car),Corporate Payments,Barclays Bank Plc,393714,95.68,Default-payment To Barclaycard For Erac (Enterprise-rent-a-car),TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/05/2021,Gpc New Procedures,Corporate Payments,Barclays Bank Plc,393716,65152.45,Default-gpc New Procedures,TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Recoveries Account - Other Payables,Corporate Payments,Leonardo Uk Ltd,393784,199.99,Default-recoveries Account - Other Payables,SS14 3EL,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/05/2021,Season Ticket Loan,Corporate Payments,"Ministry Of Housing, Communities & Local Government",394277,383.63,Default-season Ticket Loan,HP2 4XN,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cumbria County Council,392306,33087.24,Peer Networks-current Grants To Local Government,CA1 1RD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cumbria County Council,392307,15000,Peer Networks-current Grants To Local Government,CA1 1RD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cumbria County Council,392309,30000,Peer Networks-current Grants To Local Government,CA1 1RD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Coventry City Council,392311,156348.69,Peer Networks-current Grants To Local Government,CV1 5RR,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Oxfordshire County Council,392328,64474.17,Peer Networks-current Grants To Local Government,OX1 1ND,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Somerset County Council,392330,84000,Peer Networks-current Grants To Local Government,TA1 4DY,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Sheffield City Region Combined Authority,392354,19733.33,Peer Networks-current Grants To Local Government,S1 2BQ,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Private Sector - Npish,"Industrial Strategy, Science And Innovation - Business Growth",The Productivity Group Ltd,392357,364549,Productivity Council-current Grants To Private Sector - Npish,SW1P 1BX,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Gloucestershire County Council,392382,26569.36,Peer Networks-current Grants To Local Government,GL1 2TG,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Suffolk County Council,392387,157951.5,Peer Networks-current Grants To Local Government,IP1 2BX,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Royal Borough Of Windsor And Maidenhead,392389,32365.67,Peer Networks-current Grants To Local Government,SL6 1RF,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Greater Manchester Combined Authority,392486,614122.95,Peer Networks-current Grants To Local Government,M1 6EU,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/05/2021,Marketing And Media,"Industrial Strategy, Science And Innovation - Business Growth",Behavioural Insights Ltd,392504,14991.7,Business Basics In Business Growth-marketing And Media,SW1H 9NP,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Liverpool City Region Combined Authority,392757,90062.53,Peer Networks-current Grants To Local Government,L3 1BP,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Lancashire County Council,392788,87443.6,Peer Networks-current Grants To Local Government,PR1 8XJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Lancashire County Council,392788,159585.76,Peer Networks-current Grants To Local Government,PR1 8XJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Dorset Council,392831,60000,Peer Networks-current Grants To Local Government,DT1 1XJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Dorset Council,392831,79318,Peer Networks-current Grants To Local Government,DT1 1XJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Tees Valley Combined Authority,392832,32170.58,Peer Networks-current Grants To Local Government,TS17 6QY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Lincolnshire County Council,392833,194303.9,Peer Networks-current Grants To Local Government,LN1 1YL,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Walsall Metropolitan Borough Council,392835,39200,Peer Networks-current Grants To Local Government,WS1 1TP,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Hampshire County Council,392938,33363.58,Peer Networks-current Grants To Local Government,SO23 8UJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Luton Borough Council,392944,65181.3,Peer Networks-current Grants To Local Government,LU1 2BQ,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Worcestershire County Council,393095,75422,Peer Networks-current Grants To Local Government,WR5 2XF,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Buckinghamshire Council,393109,38415.61,Peer Networks-current Grants To Local Government,HP20 1UD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Derbyshire County Council,393123,29943.85,Peer Networks-current Grants To Local Government,DE4 3AG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Derbyshire County Council,393123,191328.04,Peer Networks-current Grants To Local Government,DE4 3AG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Greater London Authority,393126,238571.97,Peer Networks-current Grants To Local Government,SE1 2AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Brighton And Hove City Council,393428,36960.15,Peer Networks-current Grants To Local Government,BN3 3BQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Hertfordshire County Council,394393,40900,Peer Networks-current Grants To Local Government,SG13 8DF,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Greater Manchester Combined Authority,394402,467344.45,Peer Networks-current Grants To Local Government,M1 6EU,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/05/2021,Current Grants To Private Sector - Npish,"Industrial Strategy, Science And Innovation - Business Growth",The Chartered Association Of Business Schools,395041,193386.38,Small Business Leadership Programme-current Grants To Private Sector - Npish,EC4R 1DD,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Essex County Council,395135,59614.62,Peer Networks-current Grants To Local Government,CM1 1LX,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Other Admin Expenditure,"People, Strategy And Higher Education - Strategy And Growth",Thurrock Borough Council,391852,12166.04,Issi Covid-19 Devolved Admin-other Admin Expenditure,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Other Goods/Services,"People, Strategy And Higher Education - Strategy And Growth",Thurrock Borough Council,391852,562078.59,Mf Devolved Admin-other Goods/Services,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Other Admin Expenditure,"People, Strategy And Higher Education - Strategy And Growth",Thurrock Borough Council,391856,143310.34,Issi Covid-19 Devolved Admin-other Admin Expenditure,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Other Admin Expenditure,"People, Strategy And Higher Education - Strategy And Growth",Thurrock Borough Council,391858,-783152.4,Issi Covid-19 Devolved Admin-other Admin Expenditure,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Other Goods/Services,"People, Strategy And Higher Education - Strategy And Growth",Thurrock Borough Council,391858,12166.04,Mf Devolved Admin-other Goods/Services,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Other Admin Expenditure,"People, Strategy And Higher Education - Strategy And Growth",Thurrock Borough Council,391858,1240877.8,Issi Covid-19 Devolved Admin-other Admin Expenditure,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,R & D Outsourced Other,"People, Strategy And Higher Education - Strategy And Growth",Bdrc Continental Ltd,391941,70650,Mf Devolved Admin-r & D Outsourced Other,N1 9LL,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,R & D Outsourced Other,"People, Strategy And Higher Education - Strategy And Growth",Bdrc Continental Ltd,392375,4995,Mf Devolved Admin-r & D Outsourced Other,WC1V 7DA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/05/2021,Other Professional Services,"People, Strategy And Higher Education - Strategy And Growth",Government Actuarys Department,393380,16365.86,Mf Devolved Admin-other Professional Services,SE1 9RJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",26/05/2021,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Economics For The Environment Consultancy Ltd,394833,32130.01,Mf Devolved Admin-economic Consultancy & Research,EC1Y 2AA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Legal Services And Advice Agency,Market Frameworks - Dg & Group Support,Government Legal Department,391266,475.8,Mf Devolved Admin-legal Services And Advice Agency,SW1H 9JS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,Other It Consultancy,Scin - Ofc Negotiations - Scin - Ofc Negotiations,Cognizant Worldwide Ltd,391440,9394.22,Eu Exit: No Specific Dexeu Issue Prog-other It Consultancy,W2 6BD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Informa Markets (Uk) Ltd,391896,3249.48,Hnip Delivery Programme Expenditure-outsourced Programme Management,SW1P 1WG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Research And Development Expenditure,Energy Transformation And Clean Growth - Energy Efficiency And Local,Ove Arup And Partners Ltd,392160,-25983.67,Hnip Delivery Programme Expenditure-research And Development Expenditure,NE1 3PL,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Research And Development Expenditure,Energy Transformation And Clean Growth - Energy Efficiency And Local,Ove Arup And Partners Ltd,392160,57606.1,Hnip Delivery Programme Expenditure-research And Development Expenditure,NE1 3PL,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Current Grants To Local Government,Energy Transformation And Clean Growth - Energy Efficiency And Local,Eden District Council,393071,4991,Hndu Pipeline And Related Expenditure-current Grants To Local Government,CA11 7QF,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Exp - Miscellaneous Expenditure - Iexpenses,Energy Transformation And Clean Growth - Energy Efficiency And Local,"Personal Expense, Name Withheld",393145,213.75,Hndu Pipeline And Related Expenditure-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/05/2021,Research And Development Expenditure,Energy Transformation And Clean Growth - Energy Efficiency And Local,Cag Consult Llp T/A Cag Consultants,393302,5956.25,Hnip Delivery Programme Expenditure-research And Development Expenditure,EC3N 1LS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/05/2021,Research And Development Expenditure,Energy Transformation And Clean Growth - Energy Efficiency And Local,Cag Consult Llp T/A Cag Consultants,393304,2000,Hnip Delivery Programme Expenditure-research And Development Expenditure,EC3N 1LS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/05/2021,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Triple Point Investment Management Llp,393490,265347.9,Hnip Delivery Programme Expenditure-outsourced Programme Management,EC4N 7AF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Exp - Miscellaneous Expenditure - Iexpenses,Energy Transformation And Clean Growth - Energy Efficiency And Local,"Personal Expense, Name Withheld",393895,202.12,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Stationery,Energy Transformation And Clean Growth - Energy Efficiency And Local,"Personal Expense, Name Withheld",393915,53.94,Hndu Pipeline And Related Expenditure-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Business Rates,"Trade, Europe And Analysis - Analysis Directorate",Webhose Ltd,393652,6056.4,Mf Devolved Admin-business Rates,5126112,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",392037,73.27,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",25/05/2021,Recruitment Consultancy Costs,"Trade, Europe And Analysis - Analysis Directorate",Hm Revenue And Customs,394847,12300,Mf Devolved Admin-recruitment Consultancy Costs,BN12 4XH,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/05/2021,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",394303,109.99,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Progravitas Ltd,379753,-9520.49,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SG8 6DT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Progravitas Ltd,379753,14290.98,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SG8 6DT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Progravitas Ltd,379753,15240.98,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SG8 6DT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Progravitas Ltd,383817,-4500,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SG8 6DT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Progravitas Ltd,383817,9900,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SG8 6DT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Acuity Training Ltd,391490,2940,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU2 7YG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Alexander Mann Solutions Ltd,391984,7056.67,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Mango Business Solutions Ltd,392009,7288,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SN14 0GB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Acuity Training Ltd,392237,4410,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU2 7YG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Logix It Recruitment Ltd,392239,10500,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BR1 1NA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",People Source Consulting Ltd,392243,13800,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BS1 6BA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Logix It Recruitment Ltd,392252,4750,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BR1 1NA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",G33k Ltd,392338,10500,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SL1 6LG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Code It Recruitment Ltd,392388,10800,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,EC2R 5BJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Fordway Solutions Ltd,393230,14300,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU7 1JJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Fordway Solutions Ltd,393231,158777.56,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU7 1JJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",People Source Consulting Ltd,393368,8400,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BS1 6BA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,R & D Economic Consultancy And Research,"Trade, Europe And Analysis - Analysis Directorate",Banksearch Information Consultancy Ltd,393830,21000,Construction: Statistics And Other Sponsorship Activities-r & D Economic Consultancy And Research,CV23 0UD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",393910,170.35,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/05/2021,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Acuity Training Ltd,394209,1470,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU2 7YG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",25/05/2021,R & D Economic Consultancy And Research,"Trade, Europe And Analysis - Analysis Directorate",Business And Trade Statistics Ltd,394611,3144,Construction: Statistics And Other Sponsorship Activities-r & D Economic Consultancy And Research,KT9 1BD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/05/2021,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",393209,26,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",393835,26,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/05/2021,Technical Advice / Services & Support,Market Frameworks - Regulation Executive,The Dextrous Web Ltd T/A Dxw,392337,48706,Eu Exit: No Specific Dexeu Issue Prog-technical Advice / Services & Support,LS2 7EW,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/05/2021,Consultancy Expenditure,Market Frameworks - Office For Product Safety And Standards,Lgc Ltd,387688,-9747,Opss: National Capacity Testing-consultancy Expenditure,TW11 0LY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/05/2021,Consultancy Expenditure,Market Frameworks - Office For Product Safety And Standards,Lgc Ltd,387688,2925.35,Opss: National Capacity Testing-consultancy Expenditure,TW11 0LY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/05/2021,Consultancy Expenditure,Market Frameworks - Office For Product Safety And Standards,Lgc Ltd,387688,5578.65,Opss: National Capacity Testing-consultancy Expenditure,TW11 0LY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/05/2021,Consultancy Expenditure,Market Frameworks - Office For Product Safety And Standards,Lgc Ltd,387688,10990,Opss: National Capacity Testing-consultancy Expenditure,TW11 0LY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Current Grants To Local Government,Market Frameworks - Office For Product Safety And Standards,Mid Ulster District Council,387968,-12460,Opss: Eu Markets Surveillance-current Grants To Local Government,BT80 8DT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,Other Professional Services,Market Frameworks - Office For Product Safety And Standards,London Economics Ltd,391746,13476,Opss: National Capacity Scientific And Technical-other Professional Services,WC2R 1LA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Facilities Management Contract,Market Frameworks - Office For Product Safety And Standards,Npl Management Ltd,391813,27389.8,Opss: National Capacity Organisational Cross Cutting-facilities Management Contract,TW11 0LW,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Current Grants To Local Government,Market Frameworks - Office For Product Safety And Standards,Essex County Council,391827,6672,Opss: National Capacity Enforcement-current Grants To Local Government,CM1 1JZ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Current Grants To Local Government,Market Frameworks - Office For Product Safety And Standards,Warwickshire County Council,391840,2095.63,Opss: National Capacity Enforcement-current Grants To Local Government,CV35 7DP,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Professional Subscriptions,Market Frameworks - Office For Product Safety And Standards,"Personal Expense, Name Withheld",391863,127,Mf Devolved Admin-professional Subscriptions,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Exp - Miscellaneous Expenditure - Iexpenses,Market Frameworks - Office For Product Safety And Standards,"Personal Expense, Name Withheld",391863,203.67,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
