Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Legal Services and Advice Agency,Corporate Services - Legal Services,2 Hare Court,354481,886.00,Litigation and Government Legal Department-Legal Services and Advice Agency,EC4Y 7BH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Legal Services and Advice Agency,Corporate Services - Legal Services,2 Hare Court,354482,466.00,Litigation and Government Legal Department-Legal Services and Advice Agency,EC4Y 7BH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28 July 2020,Legal Services and Advice Agency,Corporate Services - Legal Services,6 KBW College Hill,356435,2710.00,Litigation and Government Legal Department-Legal Services and Advice Agency,EC4R 2RP,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Other Professional Services,Energy Transformation and Clean Growth - Industrial Energy,A. Stufkens,354770,730.00,MF Devolved Admin-Other Professional Services,3068 HD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28 July 2020,Professional Training,Corporate Services - Human Resources,Acacia Learning Ltd,356408,5471.66,MF Non Devolved Admin-Professional Training,SE23 3HG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24 July 2020,Learning and Dev - CS Skills,Corporate Services - Human Resources,Academy of Executive Coaching Ltd,356206,4500.00,MF Non Devolved Admin-Learning and Dev - CS Skills,AL1 4DL,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,R & D Current Grants to Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",ACADEMY OF MEDICAL SCIENCES,354051,2375.00,Academy of Medical Sciences-R & D Current Grants to Private Sector - NPISH,W1B 1QH,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,R & D Current Grants to Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",ACADEMY OF MEDICAL SCIENCES,354051,163368.00,Academy of Medical Sciences-R & D Current Grants to Private Sector - NPISH,W1B 1QH,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,R & D Current Grants to Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",ACADEMY OF MEDICAL SCIENCES,354060,1196250.00,Academy of Medical Sciences: 2018-2021 R&D uplift Skills-R & D Current Grants to Private Sector - NPISH,W1B 1QH,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01 July 2020,Grant-In-Aid to Arms Length Bodies,Market Frameworks - Labour Market,ACAS,352701,3800000.00,ACAS Non-Budget-Grant-In-Aid to Arms Length Bodies,NW1 3JJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Leasing of Motor Vehicles,"Corporate Services - Policy, Delivery and Private Office",ADDISON LEE plc,354267,-644.57,MF Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Leasing of Motor Vehicles,"Corporate Services - Policy, Delivery and Private Office",ADDISON LEE plc,354267,1181.71,MF Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10 July 2020,Purchase of Intangible Software,Corporate Services - Communications,ADOBE SYSTEMS SOFTWARE IRELAND LTD,354853,2336.40,MF Devolved Admin-Purchase of Intangible Software,24,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10 July 2020,Purchase of Intangible Software,Corporate Services - Communications,ADOBE SYSTEMS SOFTWARE IRELAND LTD,354854,-2336.40,MF Devolved Admin-Purchase of Intangible Software,24,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06 July 2020,Clearing - Cost - Assets Under Construction - Internally Developed Software,Market Frameworks - Office for Product Safety and Standards,AdRoc Ltd,349508,1800.00,EU Markets Surveillance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EC2N 1HN,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Clearing - Cost - Assets Under Construction - Internally Developed Software,Market Frameworks - Office for Product Safety and Standards,AdRoc Ltd,355043,20400.00,EU Markets Surveillance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EC2N 1HN,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Clearing - Cost - Assets Under Construction - Internally Developed Software,Market Frameworks - Office for Product Safety and Standards,AdRoc Ltd,355044,16650.00,EU Markets Surveillance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EC2N 1HN,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Clearing - Cost - Assets Under Construction - Internally Developed Software,Market Frameworks - Office for Product Safety and Standards,AdRoc Ltd,355045,18000.00,EU Markets Surveillance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EC2N 1HN,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Clearing - Cost - Assets Under Construction - Internally Developed Software,Market Frameworks - Office for Product Safety and Standards,AdRoc Ltd,355047,14400.00,EU Markets Surveillance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EC2N 1HN,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29 July 2020,Current Grants To Private Sector - NPISH,Business Sectors - Advanced Manufacturing,ADS GROUP LTD,355809,625859.89,Defence Solution Centre-Current Grants To Private Sector - NPISH,GU14 6FD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,R & D Current Grants to Private Sector - NPISH,Business Sectors - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,354311,66208.90,Automotive:Advanced Propulsion Centre-R & D Current Grants to Private Sector - NPISH,CV4 7AL,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,R & D Current Grants to Private Sector - NPISH,Business Sectors - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,354313,16786.24,Automotive:Advanced Propulsion Centre-R & D Current Grants to Private Sector - NPISH,CV4 7AL,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,R & D Current Grants to Private Sector - NPISH,Business Sectors - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,354315,540.34,Automotive:Advanced Propulsion Centre-R & D Current Grants to Private Sector - NPISH,CV4 7AL,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,R & D Current Grants to Private Sector - NPISH,Business Sectors - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,354316,11700.00,Automotive:Advanced Propulsion Centre-R & D Current Grants to Private Sector - NPISH,CV4 7AL,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,R & D Current Grants to Private Sector - NPISH,Business Sectors - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,354317,300000.00,Automotive: Advanced Propulsion Centre-R & D Current Grants to Private Sector - NPISH,CV4 7AL,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,R & D Research and Development Expenditure,Energy Transformation and Clean Growth - Science and Innovation,AECOM Ltd,355457,8991.25,INNOVATION DELIVERY BUILT ENVIRONMENT-R & D Research and Development Expenditure,WC1V 6QS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,R & D Outsourced Other,Energy Transformation and Clean Growth - Science and Innovation,AECOM Ltd,355458,2202.81,Innovation Delivery SMART Systems and Integration-R & D Outsourced Other,WC1V 6QS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Research and Development Expenditure,Energy Transformation and Clean Growth - Smart Metering Implementation Programme,AECOM Ltd,355563,-1892.06,Roll Out Of Smart Meters-Research and Development Expenditure,AL1 3ER,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Research and Development Expenditure,Energy Transformation and Clean Growth - Smart Metering Implementation Programme,AECOM Ltd,355563,3721.12,Roll Out Of Smart Meters-Research and Development Expenditure,AL1 3ER,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24 July 2020,R & D Outsourced Other,Energy Transformation and Clean Growth - Science and Innovation,AECOM Ltd,356204,22800.00,INNOVATION DELIVERY RENEWABLES-R & D Outsourced Other,WC1V 6QS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27 July 2020,Research and Development Expenditure,Energy and Security - Clean Power Strategy and Deployment,AECOM Ltd,356345,4805.00,CCS Projects-Research and Development Expenditure,WC1V 6QS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27 July 2020,R & D Outsourced Other,Energy Transformation and Clean Growth - Science and Innovation,AECOM Ltd,356420,5000.00,UK Energy Analysis-R & D Outsourced Other,AL1 3ER,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27 July 2020,Capital Grants to Private Sector - Companies,Energy Transformation and Clean Growth - Science and Innovation,Agritec Systems Ltd,356422,76753.48,Innovation Delivery Industry and Carbon Capture Demonstration-Capital Grants to Private Sector - Companies,S44 5JX,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Legal Services and Advice Agency,Energy and Security - Nuclear Directorate - SS,ALAN BATES,355976,209.00,MF Devolved Admin-Legal Services and Advice Agency,WC1R 5NR,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22 July 2020,Legal Services and Advice Agency,Energy and Security - Nuclear Directorate - SS,ALAN BATES,355976,435.00,MF Devolved Admin-Legal Services and Advice Agency,WC1R 5NR,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Albany Beck Consultancy Services Ltd,354261,49012.50,UK role in EU ETS-Outsourced Programme Management,HP4 2DF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,351718,-3284.95,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,351718,7226.89,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,352563,-3941.94,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,352563,7883.88,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,353215,2956.39,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,353217,9977.82,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,353222,3402.32,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,353224,4725.48,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,353225,2205.18,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02 July 2020,Hire of Agency Staff,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,353228,2835.24,UK role in EU ETS-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01 July 2020,Current Grants To Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,353232,3172.08,Collaboration: Unallocated-Current Grants To Private Sector - NPISH,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02 July 2020,R & D Hire of Agency Staff,Energy Transformation and Clean Growth - Science and Innovation,Alexander Mann Solutions Ltd,353233,1847.76,Innovation Delivery Cross Cutting-R & D Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01 July 2020,Hire of Agency Staff,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,353238,847.14,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,353244,-3284.95,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,353244,7226.89,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354150,2835.24,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354151,2845.63,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Hire of Agency Staff,Market Frameworks - Office for Product Safety and Standards,Alexander Mann Solutions Ltd,354152,2155.80,OPSS: National Capacity Organisational Cross Cutting-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354153,10162.98,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354155,3780.36,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354156,2362.74,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354157,2205.18,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354160,3387.66,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Hire of Agency Staff,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354162,2835.24,UK role in EU ETS-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Current Grants To Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,354164,3172.08,Collaboration: Unallocated-Current Grants To Private Sector - NPISH,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354165,3849.54,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354169,3079.63,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354170,6775.32,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354171,6474.12,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354172,3237.06,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Agency Staff,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354174,847.14,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06 July 2020,Clearing - Cost - Assets Under Construction - Internally Developed Software,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354175,4280.70,Finance Infrastructure and Maintenance-Clearing - Cost - Assets Under Construction - Internally Developed Software,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354176,3141.24,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Interim Managers,Corporate Services - Commercial & Operations,Alexander Mann Solutions Ltd,354177,4003.56,EU Exit Core BEIS Staff: Corporate Services ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09 July 2020,Hire of Interim Managers,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354178,3387.66,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06 July 2020,R & D Hire of Agency Staff,Energy Transformation and Clean Growth - Science and Innovation,Alexander Mann Solutions Ltd,354179,1847.76,Innovation Delivery Cross Cutting-R & D Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354180,12010.68,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354181,48966.91,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354182,5567.54,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354183,10624.90,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354185,3711.70,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354186,5103.59,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354187,3557.04,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354188,3557.04,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354190,2956.39,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354191,245.36,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354191,2464.67,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Hire of Agency Staff,Central - BEIS Other,Alexander Mann Solutions Ltd,354193,10207.16,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354195,3237.06,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354196,3237.06,EU Exit: Digital ADM-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Hire of Agency Staff,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354197,10868.58,MF Devolved Admin-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Hire of Interim Managers,"Industrial Strategy, Science and Innovation - International Science and Innovation",Alexander Mann Solutions Ltd,354198,3941.94,Collaboration: Unallocated-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354838,-4725.40,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354838,10395.88,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Agency Staff,Market Frameworks - Office for Product Safety and Standards,Alexander Mann Solutions Ltd,354844,2155.80,OPSS: National Capacity Organisational Cross Cutting-Hire of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13 July 2020,R & D Outsourced Other,"Industrial Strategy, Science and Innovation - Government Office for Science",Alexander Mann Solutions Ltd,354845,85.66,Foresight: Horizon Scanning-R & D Outsourced Other,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354846,3024.29,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354847,2362.74,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Outsourced Programme Management,Energy Transformation and Clean Growth - Industrial Energy,Alexander Mann Solutions Ltd,354848,2205.18,Industrial Heat Policy And Research-Outsourced Programme Management,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Hire of Interim Managers,"Corporate Services - Digital, Data & Technology",Alexander Mann Solutions Ltd,354850,3387.66,MF Devolved Admin-Hire of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Consultancy Expenditure,Corporate Services - Finance & Portfolio,Alexander Mann Solutions Ltd,354851,163.18,Assurance Reviews And PPM Capability-Consultancy Expenditure,EC2N 3AQ,VENDOR
