Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/04/2021,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Energy And Security - Energy Development And Resilience,Cms Cameron Mckenna Nabarro Olswang Llp,390758,409698.84,Coal Health Administration Costs Including Legal Defence And Records Management-utilisation Of Provisions - Purchase Of Goods & Services - Other,EC4N 6AF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Energy And Security - Energy Development And Resilience,Capita Employee Benefits Ltd,391119,101001.67,"Concessionary Fuel Scheme Costs (Includes Supply, Distribution And Contract Mana-utilisation Of Provisions - Purchase Of Goods & Services - Other",DL1 9HN,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",26/04/2021,Financial Advice And Services,Energy And Security - Energy Development And Resilience,Government Actuarys Department,391166,855,Mf Devolved Admin-financial Advice And Services,EC1A 1AB,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/04/2021,Legal Services And Advice Agency,Energy And Security - Energy Development And Resilience,Blackstone Chambers Ltd,391596,2500,Mf Devolved Admin-legal Services And Advice Agency,EC4Y 9BW,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Other Professional Services,Energy And Security - Energy Development And Resilience,Met Office,388523,6933.13,Environmental Consultation Projects-other Professional Services,EX1 3PB,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Technical Advice / Services & Support,"Energy And Security - Energy Security, Networks And Markets",Energy Systems Catapult Ltd,387967,14952,Smart Energy Holistic Cyber Risk Assessment-technical Advice / Services & Support,B4 6BS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/04/2021,Stationery,"Energy And Security - Energy Security, Networks And Markets","Personal Expense, Name Withheld",390392,191.68,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/04/2021,Stationery,"Energy And Security - Energy Security, Networks And Markets","Personal Expense, Name Withheld",390751,115.98,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/04/2021,Technical Advice / Services & Support,"Energy And Security - Energy Security, Networks And Markets",Pa Consulting Services Ltd,391566,77711,Smart Energy Holistic Cyber Risk Assessment-technical Advice / Services & Support,SG8 6DP,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/04/2021,Stationery,"Energy And Security - Energy Security, Networks And Markets","Personal Expense, Name Withheld",389215,248.96,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",30/04/2021,Stationery,"Energy And Security - Energy Security, Networks And Markets","Personal Expense, Name Withheld",391764,300.98,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Stationery,"Energy And Security - Energy Security, Networks And Markets","Personal Expense, Name Withheld",389925,115,Eu Exit: Operation Of Sem Adm-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Stationery,"Energy And Security - Energy Security, Networks And Markets","Personal Expense, Name Withheld",389938,305.98,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Grant-in-aid To Arms Length Bodies,Energy And Security - Nda,Nuclear Decommissioning Authority,387363,307000000,Nuclear Decommissioning Authority Grant In Aid-grant-in-aid To Arms Length Bodies,CA24 3HU,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",30/04/2021,Cash Cfers Paid Over To Hmt,Energy And Security - Nda,Consolidated Fund Account 6622,391850,41500000,Nda Receipts-cash Cfers Paid Over To Hmt,RH10 1UH,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/04/2021,Stationery,"Trade, Europe And Analysis - Trade And Investment Negotiations Services","Personal Expense, Name Withheld",390402,26,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/04/2021,Stationery,"Trade, Europe And Analysis - Trade And Investment Negotiations Services","Personal Expense, Name Withheld",390626,34.99,Eu Exit Core Beis Staff: Eu Exit Programme Adm-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/04/2021,Stationery,"Trade, Europe And Analysis - Trade And Investment Negotiations Services","Personal Expense, Name Withheld",390861,109.99,Eu Exit Core Beis Staff: Eu Exit Programme Adm-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/04/2021,Stationery,"Trade, Europe And Analysis - Trade And Investment Negotiations Services","Personal Expense, Name Withheld",391506,27.95,Eu Exit Core Beis Staff: Eu Exit Programme Adm-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Current Grants To Local Government,Business Sectors - Business Investment Directorate,Tees Valley Combined Authority,387621,-15284000,South Tees Site Company-current Grants To Local Government,TS17 6QY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Capital Grants To Local Government,Business Sectors - Business Investment Directorate,Tees Valley Combined Authority,387621,6278000,South Tees Site Company-capital Grants To Local Government,TS17 6QY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Current Grants To Local Government,Business Sectors - Business Investment Directorate,Tees Valley Combined Authority,387621,24290000,South Tees Site Company-current Grants To Local Government,TS17 6QY,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Stationery,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",389831,26,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/04/2021,Stationery,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",390769,78,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Other Technical Professional Services,Business Sectors - Cities And Local Growth,Thurrock Borough Council,388708,214101.5,Mf Devolved Admin-other Technical Professional Services,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/04/2021,Other Technical Professional Services,Business Sectors - Cities And Local Growth,Thurrock Borough Council,388709,150993.11,Mf Devolved Admin-other Technical Professional Services,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/04/2021,Other Technical Professional Services,Business Sectors - Cities And Local Growth,Thurrock Borough Council,390515,156630.48,Mf Devolved Admin-other Technical Professional Services,RM17 6LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Current Grants To Local Government,Business Sectors - Cities And Local Growth,Coventry City Council,388707,53476.78,Growth Hubs-current Grants To Local Government,CV1 5RR,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Stationery,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",390111,55.23,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,Stationery,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",391070,331.96,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/04/2021,Capital Grants To Private Sector - Companies,"Industrial Strategy, Science And Innovation - Business Growth",Shout Digital Ltd,389577,550,Prompt Payment Tool-capital Grants To Private Sector - Companies,NE1 2JE,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/04/2021,Hire Of Agency Staff,"Industrial Strategy, Science And Innovation - Business Growth",Alexander Mann Solutions Ltd,390528,-793.38,Mf Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/04/2021,Hire Of Agency Staff,"Industrial Strategy, Science And Innovation - Business Growth",Alexander Mann Solutions Ltd,390608,850.06,Mf Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Exp - Miscellaneous Expenditure - Iexpenses,Business Sectors - Cities And Local Growth,"Personal Expense, Name Withheld",389916,100.92,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",30/04/2021,Stationery,Business Sectors - Cities And Local Growth,"Personal Expense, Name Withheld",391789,52,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/04/2021,Stationery,Business Sectors - Cities And Local Growth,"Personal Expense, Name Withheld",390743,115,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Agency Staff,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390533,634.7,B&S Covid-19 Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Agency Staff,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390536,680.04,B&S Covid-19 Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390539,2919.31,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390543,6369.41,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390545,2919.31,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390549,2123.14,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390552,6369.41,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390581,3024.29,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390584,4246.27,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390586,2772.24,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390589,2123.18,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390591,4246.37,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",26/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,390594,1592.35,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Allen Lane Ltd,390920,2313.6,B&S Covid-19 Devolved Admin-hire Of Interim Managers,SW1Y 6RJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391215,3184.7,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391218,4378.97,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391220,4777.06,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391224,3980.88,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391225,2653.92,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391227,3465.3,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391229,2653.98,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391230,2653.98,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",26/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391231,3184.7,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Interim Managers,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391268,3649.14,B&S Covid-19 Devolved Admin-hire Of Interim Managers,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Agency Staff,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391269,680.04,B&S Covid-19 Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Hire Of Agency Staff,Business Sectors - Cities And Local Growth,Alexander Mann Solutions Ltd,391270,634.7,B&S Covid-19 Devolved Admin-hire Of Agency Staff,EC2N 3AQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Consultancy Expenditure,Business Sectors - Business Investment Directorate,Pricewaterhousecoopers Llp,388629,110865.91,Mf Devolved Admin-consultancy Expenditure,WC2N 6RH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Consultancy Expenditure,Business Sectors - Business Investment Directorate,Pricewaterhousecoopers Llp,388630,22500,Mf Devolved Admin-consultancy Expenditure,WC2N 6RH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Consultancy Expenditure,Business Sectors - Business Investment Directorate,Pricewaterhousecoopers Llp,388631,15001.2,Mf Devolved Admin-consultancy Expenditure,WC2N 6RH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Ict Outsourcing & Maintenance/Support,Business Sectors - Business Investment Directorate,Engine Partners Uk Llp (The Engine Group),388941,54720,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,W1W 7RT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/04/2021,Additions  - Cost - Information Technology,Business Sectors - Business Investment Directorate,Jeremy Benn Associates Ltd,390796,17332.81,Exceptional Regional Growth Fund (Ergf)-Additions  - Cost - Information Technology,BD23 3FD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/04/2021,Consultancy Expenditure,Business Sectors - Business Investment Directorate,Slaughter And May,390801,65694,Mf Devolved Admin-consultancy Expenditure,EC1Y 8YY,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/04/2021,Consultancy Expenditure,Business Sectors - Business Investment Directorate,Slaughter And May,390803,18944.1,Mf Devolved Admin-consultancy Expenditure,EC1Y 8YY,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Intercompany Receivables (Financial Accounts System),Market Frameworks - Business Frameworks,The Insolvency Service,390676,-130145.77,Default-intercompany Receivables (Financial Accounts System),B4 6FD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Intercompany Receivables (Financial Accounts System),Market Frameworks - Business Frameworks,The Insolvency Service,391267,130145.77,Default-intercompany Receivables (Financial Accounts System),B4 6FD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/04/2021,Misc. Non Procurement Spend,Corporate Services - Finance Directorate,Cabinet Office,388803,-690,Mf Devolved Admin-misc. Non Procurement Spend,FY1 9JN,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/04/2021,Misc. Non Procurement Spend,Corporate Services - Finance Directorate,Cabinet Office,388803,1518,Mf Devolved Admin-misc. Non Procurement Spend,FY1 9JN,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Corporate Services - Finance Directorate,Personal name withheld,390032,1422.8,Payment to assessor,N2 ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Corporate Services - Finance Directorate,Personal name withheld,390039,389.72,Payment to assessor,IP13 ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Corporate Services - Finance Directorate,Personal name withheld,390043,389.72,Payment to assessor,NW11 ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Corporate Services - Finance Directorate,Personal name withheld,390045,389.72,Payment to assessor,NW3 ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/04/2021,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Corporate Services - Finance Directorate,Personal name withheld,390046,389.72,Payment to assessor,NW11 ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Stationery,Corporate Services - Finance Directorate,"Personal Expense, Name Withheld",388911,24.3,Eu Exit Core Beis Staff: Eu Exit Programme Adm-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/04/2021,Enforcement,Market Frameworks - Labour Market,Hm Revenue And Customs,389397,2470280,National Minimum Wage Enforcement-enforcement,BN12 4XH,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/04/2021,Enforcement,Market Frameworks - Labour Market,Hm Revenue And Customs,389486,47603.3,National Minimum Wage Enforcement-enforcement,BN12 4XH,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/04/2021,Enforcement,Market Frameworks - Labour Market,Hm Revenue And Customs,390291,2042.4,National Minimum Wage Enforcement-enforcement,BN12 4XH,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/04/2021,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",389591,96.86,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/04/2021,Other It Consultancy,Market Frameworks - Labour Market,Solirius Ltd T/A Solirius Consulting,391610,1416,Family Related Policy Comms-other It Consultancy,EC3A 2AD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Grant-in-aid To Arms Length Bodies,Market Frameworks - Labour Market,Acas,386370,4000000,Acas Non-budget-grant-in-aid To Arms Length Bodies,NW1 3JJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/04/2021,External Legal Advice And Service,Market Frameworks - Labour Market,The Scotland Office,390762,15426,Mf Devolved Admin-external Legal Advice And Service,EH8 8FT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,Legal Costs,Market Frameworks - Labour Market,Government Legal Department,391050,170.2,Mf Devolved Admin-legal Costs,SW1H 9GL,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/04/2021,Grant-in-aid To Arms Length Bodies,Market Frameworks - Labour Market,Acas,391121,1900000,Acas Non-budget-grant-in-aid To Arms Length Bodies,NW1 3JJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/04/2021,Exp - Miscellaneous Expenditure - Iexpenses,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",391655,149,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/04/2021,Stationery,Market Frameworks - Business Frameworks,"Personal Expense, Name Withheld",389242,86.08,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/04/2021,Stationery,Market Frameworks - Business Frameworks,"Personal Expense, Name Withheld",390336,52,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",26/04/2021,Outsourced Programme Management,Market Frameworks - Business Frameworks,Companies House,391042,1965823,Ch: Late Filing Penalties-outsourced Programme Management,CF14 3UZ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,Exp - Miscellaneous Expenditure - Iexpenses,Market Frameworks - Business Frameworks,"Personal Expense, Name Withheld",391071,28.99,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",30/04/2021,Cash Cfers Paid Over To Hmt,Market Frameworks - Business Frameworks,Consolidated Fund Account 6622,391850,2000000,Blg Restructuring & Contingency Provision-cash Cfers Paid Over To Hmt,RH10 1UH,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Publications,Market Frameworks - Business Frameworks,Allied Publicity Services (Manchester) Ltd T/A Aps Group,388745,-1564.39,Mf Devolved Admin-publications,SK3 0ZP,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Publications,Market Frameworks - Business Frameworks,Allied Publicity Services (Manchester) Ltd T/A Aps Group,388745,3128.03,Mf Devolved Admin-publications,SK3 0ZP,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/04/2021,Exp - Miscellaneous Expenditure - Iexpenses,"Trade, Europe And Analysis - National Security And International","Personal Expense, Name Withheld",391391,80,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Other Relocation Costs,"Trade, Europe And Analysis - Economic Partnerships Directorate","Foreign, Commonwealth And Development Office",388146,343.16,Eu Expertise: General Costs-other Relocation Costs,MK10 1PX,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",27/04/2021,Other Relocation Costs,"Trade, Europe And Analysis - Economic Partnerships Directorate","Foreign, Commonwealth And Development Office",388147,428.96,Eu Expertise: General Costs-other Relocation Costs,MK10 1PX,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/04/2021,Hotel & Accommodation Overseas,"Trade, Europe And Analysis - Economic Partnerships Directorate","Personal Expense, Name Withheld",390547,1605.8,Eu Expertise: General Costs-hotel & Accommodation Overseas,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/04/2021,Learning And Dev - Cs Skills,"Trade, Europe And Analysis - Economic Partnerships Directorate",Language Services Direct Ltd,390993,1170,College For Europe-learning And Dev - Cs Skills,SE1 0HX,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/04/2021,Other Training Costs,"Trade, Europe And Analysis - Economic Partnerships Directorate",Personal name withheld,390420,1500,Eu Exit Core Beis Staff: Eu Exit Programme Adm-other Training Costs,CF14 ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/04/2021,Grant-in-aid To Arms Length Bodies,Market Frameworks - Consumer And Competition Policy,Competition Service,389796,1289000,Competition Services Nb-grant-in-aid To Arms Length Bodies,WC2A 2JT,WGA ONLY
