Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Leeds Hospital Fund,Corporate Payments,The British Healthcare Association,397093,40,Default-leeds Hospital Fund,NW15 6DD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Minerva Ssa,Corporate Payments,Civil Service Sports Council (Cssc),397094,9,Default-minerva Ssa,SW1H 0ET,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Pcs Union,Corporate Payments,Public And Commercial Services Union (Pcs),397095,1512.14,Default-pcs Union,SW11 2LN,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,O Parl,Corporate Payments,Parliamentary Contributory Pension Fund,397096,2694.84,Default-o Parl,SW1A 0AA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Simplyhealth,Corporate Payments,Simply Health,397097,485.99,Default-simplyhealth,SP10 1LQ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Uk Cs Benefit Soc,Corporate Payments,Uk Civil Service Benefit Society Trustees Ltd,397098,25,Default-uk Cs Benefit Soc,TW1 4BA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Westfield Health,Corporate Payments,The British Healthcare Association,397099,86,Default-westfield Health,NW15 6DD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Charitable Giving,Corporate Payments,The Civil Service Benevolent Fund (The Charity For Civil Servants),397100,142.05,Default-charitable Giving,SM3 8DY,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/06/2021,Tax Deductions,Corporate Payments,Hm Revenue And Customs,397113,30771.88,Default-tax Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/06/2021,National Insurance Deductions,Corporate Payments,Hm Revenue And Customs,397114,10112.11,Default-national Insurance Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/06/2021,Tax Deductions,Corporate Payments,Hm Revenue And Customs,397115,504,Default-tax Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/06/2021,Tax Deductions,Corporate Payments,Hm Revenue And Customs,397119,858.8,Default-tax Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/06/2021,Recoveries Account - Other Payables,Corporate Payments,Npl Management Ltd,397514,2160,Default-recoveries Account - Other Payables,TW11 0LW,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/06/2021,Recoveries Account - Other Payables,Corporate Payments,The Royal Mint Ltd,397532,6480,Default-recoveries Account - Other Payables,CF72 8YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/06/2021,Recoveries Account - Other Payables,Corporate Payments,Insight Direct (Uk) Ltd,398001,198,Default-recoveries Account - Other Payables,UB8 1JG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",25/06/2021,Recoveries Account - Other Payables,Corporate Payments,Department For International Trade,398150,55.49,Default-recoveries Account - Other Payables,NP10 8QQ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/06/2021,Recoveries Account - Other Payables,Corporate Payments,Department For International Trade,398716,1800,Default-recoveries Account - Other Payables,NP10 8QQ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",30/06/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,398859,16480.56,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",30/06/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,398861,87625.34,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/06/2021,Current Grants To Private Sector - Npish,"Science, Innovation And Growth - Business Growth",Loughborough University,395475,70000,Business Basics In Business Growth-current Grants To Private Sector - Npish,LE11 3TU,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/06/2021,Telecoms Equipment,"Science, Innovation And Growth - Business Growth",Language Line Ltd T/A Language Line Solutions,395647,61.1,Business Support Helpline-telecoms Equipment,E14 5NR,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/06/2021,Current Grants To Private Sector - Npish,"Science, Innovation And Growth - Business Growth",The Productivity Group Ltd,395658,351968,Productivity Council-current Grants To Private Sector - Npish,SW1P 1BX,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Current Grants To Private Sector - Npish,"Science, Innovation And Growth - Business Growth",The Chartered Association Of Business Schools,395829,241673.28,Small Business Leadership Programme-current Grants To Private Sector - Npish,EC4R 1DD,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/06/2021,Current Grants To Local Government,"Science, Innovation And Growth - Business Growth",North Of Tyne Combined Authority,396118,217186.37,Peer Networks-current Grants To Local Government,NW27 0QQ,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/06/2021,Business Management Advice,"Science, Innovation And Growth - Business Growth",Umi Commercial Ltd,396748,161598.23,Business Support Helpline-business Management Advice,SR7 7TT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/06/2021,Telecoms Equipment,"Science, Innovation And Growth - Business Growth",Language Line Ltd T/A Language Line Solutions,396749,45.6,Business Support Helpline-telecoms Equipment,E14 5NR,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/06/2021,Current Grants To Local Government,"Science, Innovation And Growth - Business Growth",Greater Manchester Combined Authority,396823,18495.25,Peer Networks-current Grants To Local Government,M1 6EU,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/06/2021,Current Grants To Local Government,"Science, Innovation And Growth - Business Growth",Buckinghamshire Council,396839,4054.91,Peer Networks-current Grants To Local Government,HP20 1UD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/06/2021,Current Grants To Local Government,"Science, Innovation And Growth - Business Growth",Birmingham City Council,396885,100402.7,Peer Networks-current Grants To Local Government,B7 4BL,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/06/2021,Business Management Advice,"Science, Innovation And Growth - Business Growth",Umi Commercial Ltd,397103,161031.34,Business Support Helpline-business Management Advice,SR7 7TT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/06/2021,Current Grants To Private Sector - Npish,"Science, Innovation And Growth - Business Growth",The Chartered Association Of Business Schools,397660,888574.32,Small Business Leadership Programme-current Grants To Private Sector - Npish,EC4R 1DD,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/06/2021,Current Grants To Local Government,"Science, Innovation And Growth - Business Growth",Greater Manchester Combined Authority,398653,18113.07,Peer Networks-current Grants To Local Government,M1 6EU,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/06/2021,Exp - Miscellaneous Expenditure - Iexpenses,"Science, Innovation And Growth - Business Growth","Personal Expense, Name Withheld",398425,103.32,Challenger Business-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/06/2021,Exp - Miscellaneous Expenditure - Iexpenses,"Science, Innovation And Growth - Business Growth","Personal Expense, Name Withheld",398425,184,Challenger Business-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/06/2021,Exp - Miscellaneous Expenditure - Iexpenses,"Science, Innovation And Growth - Business Growth","Personal Expense, Name Withheld",398433,21.35,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/06/2021,Stationery,"Science, Innovation And Growth - Business Growth","Personal Expense, Name Withheld",398672,22.99,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24/06/2021,Exp - Miscellaneous Expenditure - Iexpenses,"Corporate Services - Policy, Strategy And Private Office","Personal Expense, Name Withheld",398108,30.99,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/06/2021,Economic Consultancy & Research,"People, Strategy And Higher Education - Strategy And Growth",Creditscorer Ltd,395152,9000,Mf Devolved Admin-economic Consultancy & Research,LS8 1LT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/06/2021,Other Professional Services,"People, Strategy And Higher Education - Strategy And Growth",Government Actuarys Department,395491,18485.11,Mf Devolved Admin-other Professional Services,SE1 9RJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Stationery,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",396371,12.99,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Stationery,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",396371,16.96,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Stationery,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",396371,27.59,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Stationery,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",396371,31.99,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/06/2021,Stationery,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",397036,26.99,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/06/2021,Strategy Consultancy,"People, Strategy And Higher Education - Strategy And Growth",Oliver Wyman Ltd,397654,135000,Issi Covid-19 Devolved Admin-strategy Consultancy,W1U 8EW,VENDOR
