Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,20/05/2022,Other Materiel Consumed,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,626414,Other Materiel Consumed,£96.89
Ministry of Defence,Ministry of Defence,24/05/2022,Telecomms + IT non capital,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,626694,IT+Comms Internal Costs,£96.06
Ministry of Defence,Ministry of Defence,04/05/2022,Telecomms + IT non capital,Strategic Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,622765,IT+Comms Internal Costs,£96.00
Ministry of Defence,Ministry of Defence,11/05/2022,Telecomms + IT non capital,Strategic Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,624113,IT+Comms Internal Costs,£96.00
Ministry of Defence,Ministry of Defence,20/05/2022,Telecomms + IT non capital,Head Office and Corporate Services,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,626440,IT+Comms Internal Costs,£96.00
Ministry of Defence,Ministry of Defence,25/05/2022,Telecomms + IT non capital,Strategic Command,SPECIALIST COMPUTER CENTRES PLC,B11 2LE,627018,IT+Comms Internal Costs,£95.18
Ministry of Defence,Ministry of Defence,16/05/2022,Buildings Maintenance,Army Command,F.C. BROWN (STEEL EQUIPMENT) LIMITED,NP19 4PW,625025,Buildings Maintenance,£94.13
Ministry of Defence,Ministry of Defence,17/05/2022,Fuels Non Utilities Consumed,Army Command,VEOLIA ES (UK) LIMITED,WS11 8JP,625365,Fuels Non Utilities Consumed,£94.00
Ministry of Defence,Ministry of Defence,20/05/2022,P+M General Services,Defence Equipment and Support,VEOLIA ES (UK) LIMITED,WS11 8JP,626214,P+M General Services,£94.00
Ministry of Defence,Ministry of Defence,30/05/2022,Other Materiel Consumed,Army Command,BANNER GROUP LIMITED,S9 1XU,627864,Other Materiel Consumed,£91.68
Ministry of Defence,Ministry of Defence,25/05/2022,Telecomms + IT non capital,Navy Command,CDW LIMITED,EC4M 7RB,626966,IT+Comms Internal Costs,£90.00
Ministry of Defence,Ministry of Defence,11/05/2022,Other Materiel Consumed,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,624113,Other Materiel Consumed,£90.00
Ministry of Defence,Ministry of Defence,11/05/2022,P+M General Services,Air Command,BANNER GROUP LIMITED,S9 1XU,624123,P+M General Services,£88.41
Ministry of Defence,Ministry of Defence,27/05/2022,P+M General Services,Defence Nuclear Organisation,AKHTER COMPUTERS LIMITED,CM18 7PN,627681,P+M General Services,£87.83
Ministry of Defence,Ministry of Defence,19/05/2022,Buildings Maintenance,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007800,Buildings Maintenance,£86.14
Ministry of Defence,Ministry of Defence,03/05/2022,Transportation + Movement,Defence Equipment and Support,BABCOCK AEROSPACE LIMITED,BH23 6BS,622273,Transport + Movement Freight,£85.79
Ministry of Defence,Ministry of Defence,25/05/2022,Other Materiel Consumed,Defence Nuclear Organisation,BANNER GROUP LIMITED,S9 1XU,626976,Other Materiel Consumed,£84.46
Ministry of Defence,Ministry of Defence,18/05/2022,Transportation + Movement,Strategic Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007796,Military Detached Duty,£84.24
Ministry of Defence,Ministry of Defence,17/05/2022,Telecomms + IT non capital,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,625395,IT+Comms Rental Payments,£84.00
Ministry of Defence,Ministry of Defence,18/05/2022,P+M General Services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007795,P+M General Services,£79.73
Ministry of Defence,Ministry of Defence,12/05/2022,Med/Welfare/Soc+Rec Costs,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007782,Medical Costs,£79.71
Ministry of Defence,Ministry of Defence,13/05/2022,Telecomms + IT non capital,Army Command,BANNER GROUP LIMITED,S9 1XU,624726,IT+Comms Internal Costs,£78.55
Ministry of Defence,Ministry of Defence,24/05/2022,Fees for Prof Services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007818,Fees for Other Prof Services,£75.95
Ministry of Defence,Ministry of Defence,26/05/2022,Telecomms + IT non capital,Army Command,INSIGHT DIRECT (U K) LTD,S9 2BU,627297,IT+Comms Internal Costs,£75.58
Ministry of Defence,Ministry of Defence,25/05/2022,Other Materiel Consumed,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,626972,Other Materiel Consumed,£75.25
Ministry of Defence,Ministry of Defence,03/05/2022,P+M General Services,Defence Equipment and Support,BOXXE LIMITED,YO31 7RE,622375,P+M General Services,£74.38
Ministry of Defence,Ministry of Defence,05/05/2022,Telecomms + IT non capital,Air Command,GALTEC SOLUTIONS LIMITED,LS18 4DF,623063,IT+Comms Internal Costs,£70.56
Ministry of Defence,Ministry of Defence,03/05/2022,Telecomms + IT non capital,Strategic Command,BANNER GROUP LIMITED,S9 1XU,622506,IT+Comms Internal Costs,£70.30
Ministry of Defence,Ministry of Defence,04/05/2022,Telecomms + IT non capital,Army Command,BOXXE LIMITED,YO31 7RE,622682,IT+Comms Internal Costs,£69.96
Ministry of Defence,Ministry of Defence,17/05/2022,P+M General Services,Defence Equipment and Support,AWE PLC,RG7 4PR,625386,P+M General Services,£68.27
Ministry of Defence,Ministry of Defence,09 May 2022,Administration Pmnts+Cash loss,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007767,Administration Pmnts,£66.42
Ministry of Defence,Ministry of Defence,30/05/2022,Telecomms + IT non capital,Head Office and Corporate Services,BANNER GROUP LIMITED,S9 1XU,627864,IT+Comms Internal Costs,£63.02
Ministry of Defence,Ministry of Defence,27/05/2022,Telecomms + IT non capital,Navy Command,BOXXE LIMITED,YO31 7RE,627553,IT+Comms Internal Costs,£62.61
Ministry of Defence,Ministry of Defence,30/05/2022,Other Materiel Consumed,Defence Nuclear Organisation,BANNER GROUP LIMITED,S9 1XU,627864,Other Materiel Consumed,£61.78
